natx =      362
    x       y        z       iph  
      3.74495      6.24276      0.20805   0      0.00000
      5.14970      6.15101     -1.16341   1      1.96536
      3.00699      4.62517      1.09611   3      1.98742
      2.57647      7.67229     -0.56892   1      2.00314
      3.98041      7.57940     -1.94197   2      2.54256
      1.40544      6.25218     -1.35669   2      2.81457
      4.21132      4.63410     -2.10796   2      2.85818
      6.08719      4.63029     -0.22549   2      2.87647
      1.17309      7.56968      0.80396   2      2.95471
      6.32050      7.57183     -0.37322   2      2.95597
      3.51518      9.18900      0.37510   2      2.95990
      5.48364      6.26783      2.64732   2      2.99562
      3.74520      3.01060      0.20294   2      3.23216
      0.93979      4.62814      0.95169   2      3.32098
      6.22335      4.65436      1.75292   3      3.32447
      3.14212      4.64761      3.07322   2      3.33423
      2.14514      4.63870     -2.25109   3      3.34362
      2.91122      7.59290      3.23921   2      3.42139
      5.58118      9.18853      0.51822   3      3.48504
      3.65150      9.21020      2.35025   3      3.66107
      5.14926      3.11385     -1.16968   1      3.69598
      0.00229      6.14886      0.01377   1      3.74888
      4.08050      6.16451      4.01778   1      3.82528
      6.55284      6.25433     -2.53387   2      3.92460
      1.64131      9.19127     -1.51013   2      4.00888
      1.07595      4.65221      2.93010   3      4.13073
      5.71952      9.20692      2.49388   2      4.23204
      1.40482      3.01774     -1.36632   2      4.28434
      4.72070      9.19669     -2.83093   3      4.34893
      5.48303      3.03339      2.63769   2      4.38453
      6.65468      7.68795      3.43508   1      4.57917
      4.07618      4.61166     -4.08507   3      4.60446
      7.72387      7.67444     -1.74610   1      4.65835
      0.43378      9.18638      1.69540   3      4.67343
      2.57830     10.70870     -0.56605   1      4.68027
      8.15439      4.62732     -0.08106   3      4.70493
      2.57453      1.58985     -0.58705   1      4.86330
      0.00186      3.11170      0.00750   1      4.88410
      8.05862      7.59505      2.06204   2      4.88607
      4.08007      3.12736      4.01151   1      4.92791
      0.33624      6.26568      3.82449   2      4.96976
      2.24229      7.55617     -4.37722   2      5.00077
      5.25130      7.58533      4.80797   2      5.02303
      2.00898      4.61463     -4.22949   2      5.03549
      3.97838      1.69244     -1.95810   2      5.04501
      3.98215     10.81130     -1.93710   2      5.05267
     -0.93609      4.63196     -0.93079   2      5.07974
      6.55223      3.01989     -2.54350   2      5.08318
      8.28952      4.64976      1.89604   2      5.10295
      6.78871      9.19342     -2.68731   2      5.13361
      1.50727      7.68580      4.61226   1      5.14652
      5.01799      4.64380      4.95570   2      5.16890
     -1.16699      7.57725     -0.76480   2      5.18213
      1.50298      9.17288     -3.48579   3      5.22077
      1.17476     10.80170      0.80647   2      5.26763
      1.17099      1.68281      0.78547   2      5.26800
      6.31839      1.68496     -0.39171   2      5.26838
      6.32217     10.80380     -0.37071   2      5.27068
     -1.40259      6.24089      1.38508   2      5.28039
      8.89222      6.24519     -0.96928   2      5.28020
      4.81401      6.22953     -4.97329   2      5.29050
      2.67562      6.25655      5.38908   2      5.29025
      7.29255      4.64085     -3.42827   3      5.32676
     -0.42670      9.19454     -1.65376   3      5.43893
      2.90918      1.70595      3.22308   2      5.51104
      0.57211      9.20477      3.67105   2      5.55273
      2.91296     10.82480      3.24408   2      5.55921
     -0.33339      6.22738     -3.79611   2      5.71545
      7.82302      6.25870      4.21191   2      5.71505
      8.66259      9.19115     -0.80208   2      5.82207
      4.58438      9.17549     -4.80609   2      5.86917
      3.74897     12.12950      0.22394   2      5.88676
      0.33563      3.03124      3.81486   2      5.91155
      8.79891      9.21234      1.17307   3      5.94072
     -1.07122      4.60951     -2.90790   3      5.96424
      1.07149      6.13535     -5.16742   1      6.00455
      9.22790      6.16666      2.84060   1      6.08267
      3.64566      7.65878     -5.75011   1      6.12492
      7.08519      4.64083      5.10012   3      6.13643
      3.51141      0.07011      0.35410   2      6.17879
      2.67600      3.02410      5.38413   2      6.18823
     -1.40221      3.00845      1.38012   2      6.19094
      8.89260      3.01275     -0.97423   2      6.19105
      4.81439      2.99709     -4.97824   2      6.21093
      6.65651     10.72440      3.43795   1      6.24456
      2.44599      9.20251      5.55628   2      6.24908
     -1.63222      9.18685      1.55227   2      6.27603
      4.51199      9.20204      5.69940   3      6.28495
      7.72570     10.71090     -1.74323   1      6.29429
      5.15304     12.23270     -1.14868   1      6.30102
      6.65274      1.60551      3.41695   1      6.34479
      6.65038      9.17502     -4.66296   3      6.38486
      7.59339      9.20465      4.37911   2      6.40164
      7.72193      1.59200     -1.76423   1      6.42929
     -2.14042      4.62302      2.27329   3      6.44409
      5.57741      0.06964      0.49722   3      6.44585
      9.12782      7.58155     -3.11915   2      6.46822
     -0.56303      9.17334     -3.62891   2      6.47065
     -2.57094      7.67014      0.60825   1      6.48753
      3.64773      0.09130      2.32925   3      6.50764
      8.05659      1.70810      2.04591   2      6.52159
      1.40860     12.13660     -1.34532   2      6.52754
      1.93779      4.63868      6.27730   3      6.53259
      7.82341      3.02625      4.20695   2      6.55522
      8.06036     10.82700      2.06691   2      6.56455
     -0.33301      2.99494     -3.80106   2      6.57655
      5.24920      1.69846      4.78948   2      6.62593
      2.24396     10.78820     -4.37471   2      6.62689
      5.48680     12.15230      2.65869   2      6.63041
      2.24019      1.66930     -4.39571   2      6.66149
      5.25297     10.81740      4.81048   2      6.66212
      1.50910     10.72230      4.61513   1      6.66991
      1.63754      0.07237     -1.53113   2      6.74831
      1.50533      1.60336      4.59413   1      6.76592
      7.15639      4.61678     -5.40667   2      6.76807
     -1.16902      1.69029     -0.78092   2      6.77127
     -1.16525     10.80920     -0.75992   2      6.77491
      1.07106      3.09820     -5.17368   1      6.78240
      9.35872      4.63625     -3.28514   2      6.80424
      9.22747      3.12951      2.83433   1      6.82991
      5.71574      0.08803      2.47288   2      6.84793
      2.47463      6.23867     -6.53787   2      6.86449
     -1.49590      9.20805      3.52743   3      6.87588
     -1.06691      6.16236      5.19495   1      6.93034
      7.38969      7.55832     -5.55440   2      6.94411
      4.71693      0.07780     -2.85193   3      6.95090
      0.10390      7.58318      5.98514   2      6.95908
     10.63100      6.26998      1.47014   2      7.00081
      6.21889      6.13750     -6.34459   1      7.00489
     10.29710      6.15316     -2.34058   1      7.03095
      5.15415      4.66787      6.93410   3      7.05024
     -3.00226      4.63655     -1.07391   3      7.05324
      0.00563     12.23060      0.02850   1      7.06180
      6.55600     12.13880     -2.52250   2      7.07963
      4.08384     12.24630      4.03251   1      7.12628
      0.43001      0.06749      1.67440   3      7.16051
     -2.00528      4.64546      4.25040   2      7.20813
     -1.50174      7.65663     -4.57293   1      7.23772
     -0.12941      4.64165      6.13287   2      7.25794
     -0.09780      7.56374     -5.94598   2      7.37454
      3.64750     10.69520     -5.74724   1      7.43634
     -2.23619      7.59076      4.41639   2      7.43648
      0.13311      4.61845     -6.11197   2      7.45831
      6.78494      0.07452     -2.70831   2      7.46953
     -3.74197      6.25003     -0.17951   2      7.49695
     10.16540      4.64595      3.77852   2      7.51799
      1.49920      0.05398     -3.50679   3      7.55939
      5.04961      7.56589     -7.12315   2      7.56302
      2.71050      9.17776     -6.69132   2      7.56873
      3.64372      1.57634     -5.76824   1      7.58299
     -2.90511      7.55402     -3.20005   2      7.58669
      3.01076     13.74410      1.11711   3      7.59181
     -1.06734      3.12521      5.18869   1      7.59500
      2.47402      3.00423     -6.54750   2      7.59874
     10.39870      7.58748      3.63079   2      7.60236
     10.72860      9.19068     -0.65896   3      7.62976
      4.41445      6.28134      7.82850   2      7.64990
      6.21846      3.10035     -6.35086   1      7.68195
