527.8   0.2788565   0.279321   0.2787011   0.2791639   0.2775086   0.2784301   0.278532   0.2796869   0.1835479   0.1837698   0.1840168   0.183557   
527.85   0.2879911   0.288476   0.2878419   0.288318   0.2865697   0.2875573   0.287667   0.2888803   0.1879365   0.1881735   0.1884247   0.1879465   
527.9   0.2976328   0.298153   0.2974989   0.2979803   0.2961472   0.2971993   0.2973179   0.2985927   0.1925204   0.1927721   0.1930289   0.1925313   
527.95   0.3078088   0.308382   0.3077007   0.308178   0.3062713   0.3073849   0.3075134   0.3088528   0.1973093   0.197575   0.1978388   0.1973209   
528   0.318551   0.3191964   0.3184794   0.3189436   0.3169739   0.3181463   0.3182853   0.3196939   0.2023149   0.2025939   0.2028671   0.2023275   
528.05   0.3299112   0.3306441   0.3298837   0.3303301   0.3283004   0.3295328   0.3296824   0.3311663   0.2075562   0.2078481   0.208133   0.2075702   
528.1   0.3419476   0.3427763   0.3419679   0.3423954   0.3403022   0.3415986   0.341759   0.3433242   0.2130534   0.213358   0.2136569   0.2130693   
528.15   0.3547184   0.3556442   0.3547863   0.3551975   0.3530305   0.3543977   0.3545693   0.356222   0.2188269   0.2191443   0.219459   0.218845   
528.2   0.3682817   0.3692991   0.3683933   0.3687945   0.3665366   0.3679841   0.3681677   0.3699139   0.2248971   0.2252274   0.2255598   0.2249177   
528.25   0.3826956   0.3837923   0.3828432   0.3832444   0.3808718   0.382412   0.3826086   0.3844543   0.2312843   0.2316278   0.2319796   0.2313075   
528.3   0.3980184   0.3991751   0.3981905   0.3986052   0.3960874   0.3977353   0.3979461   0.3998973   0.2380089   0.2383663   0.2387387   0.2380349   
528.35   0.414308   0.4154987   0.4144895   0.4149348   0.4122345   0.4140082   0.4142347   0.4162973   0.2450911   0.2454633   0.2458575   0.24512   
528.4   0.431622   0.4328141   0.431794   0.4322904   0.4293645   0.431284   0.4315281   0.4337075   0.2525514   0.2529394   0.2533563   0.2525832   
