natx =      362
    x       y        z       iph  
      2.90934      1.70557      3.22288   0      0.00000
      1.50533      1.60336      4.59413   1      1.96520
      3.64773      0.09130      2.32925   3      1.98738
      4.08007      3.12736      4.01151   1      2.00351
      2.67600      3.02410      5.38413   2      2.54243
      5.24920      1.69846      4.78948   2      2.81589
      2.44221      0.08361      5.53528   2      2.86289
      0.56834      0.08588      3.65005   2      2.87857
      5.48303      3.03339      2.63769   2      2.95456
      0.33563      3.03124      3.81486   2      2.95497
      3.14212      4.64761      3.07322   2      2.95503
      1.17099      1.68281      0.78547   2      2.99388
      2.90744     -1.52599      3.21821   2      3.23156
      5.71574      0.08803      2.47288   2      3.32488
      4.50821      0.08315      5.67840   3      3.34936
      0.43001      0.06749      1.67440   3      3.35085
      3.51141      0.07011      0.35410   2      3.35665
      3.74520      3.01060      0.20294   2      3.39438
      1.07595      4.65221      2.93010   3      3.48278
      3.00699      4.62517      1.09611   3      3.61341
      1.50350     -1.43310      4.59126   1      3.70136
      6.65274      1.60551      3.41695   1      3.74976
      2.57453      1.58985     -0.58705   1      3.82636
      0.10179      1.69631      5.96665   2      3.92565
      5.01799      4.64380      4.95570   2      4.01027
      5.57741      0.06964      0.49722   3      4.15019
      0.93979      4.62814      0.95169   2      4.19271
      5.24753     -1.53356      4.78697   2      4.29016
      1.93779      4.63868      6.27730   3      4.34471
      1.16932     -1.54922      0.78296   2      4.42431
      0.00186      3.11170      0.00750   1      4.55734
      2.57853      0.10481      7.51043   3      4.58857
     -1.06734      3.12521      5.18869   1      4.65766
      6.22335      4.65436      1.75292   3      4.67320
      4.08050      6.16451      4.01778   1      4.67821
     -1.49967      0.08915      3.50643   3      4.70453
      4.07673     -2.95438      3.99678   1      4.86589
     -1.40221      3.00845      1.38012   2      4.86649
      6.65090     -1.43095      3.41408   1      4.88606
      2.57269     -1.44660     -0.58992   1      4.95852
      6.31839      1.68496     -0.39171   2      4.96863
      1.40482      3.01774     -1.36632   2      5.00461
      4.41384      3.04690      7.81887   2      5.01855
      4.64655      0.10154      7.65406   2      5.02257
      2.67562      6.25655      5.38908   2      5.04564
      2.67184     -2.86235      5.36808   2      5.05215
      7.58962      0.08576      4.35811   2      5.08110
      0.10013     -1.53571      5.96414   2      5.09039
     -1.63599      0.06796      1.53127   2      5.11892
      5.14926      3.11385     -1.16968   1      5.12787
     -0.12941      4.64165      6.13287   2      5.13056
      7.82341      3.02625      4.20695   2      5.18273
      1.63754      0.07237     -1.53113   2      5.18512
      5.15415      4.66787      6.93410   3      5.25238
      5.47987     -2.85106      2.62632   2      5.26558
      0.33247     -2.85321      3.80349   2      5.26876
      5.48364      6.26783      2.64732   2      5.26996
      0.33624      6.26568      3.82449   2      5.27043
     -2.23822      1.70380      4.40026   2      5.28049
      8.05659      1.70810      2.04591   2      5.28010
      3.97838      1.69244     -1.95810   2      5.29014
      1.83999      1.71945      8.40427   2      5.29061
     -0.63919      0.08100      6.85558   3      5.33177
      7.08519      4.64083      5.10012   3      5.43852
      3.74481      6.24304      0.20790   2      5.51151
      6.08719      4.63029     -0.22549   2      5.52666
      3.74104     -2.87585      0.18690   2      5.55862
     -1.16902      1.69029     -0.78092   2      5.71521
      6.98739      1.72160      7.22709   2      5.71528
     -2.00528      4.64546      4.25040   2      5.81827
      2.91122      7.59290      3.23921   2      5.88735
      2.07292      4.66112      8.25440   2      5.89500
     -2.14042      4.62302      2.27329   3      5.90875
      6.31673     -1.54707     -0.39422   2      5.93914
      7.72594      0.10696      6.33326   3      5.95228
      5.58354      1.61901      8.59814   1      6.00435
     -2.57288      1.58770      0.59012   1      6.08277
      3.01087      3.14087      9.19269   1      6.14077
     -0.43048      0.07565     -1.67476   3      6.14800
      3.13835     -4.47128      3.05222   2      6.18345
      1.83825     -1.51248      8.39940   2      6.18865
      8.05485     -1.52384      2.04104   2      6.18887
     -2.23996     -1.52814      4.39539   2      6.19249
      0.00229      6.14886      0.01377   1      6.20420
      3.97664     -1.53950     -1.96297   2      6.20988
      4.21132      4.63410     -2.10796   2      6.22007
      2.14514      4.63870     -2.25109   3      6.25712
      8.28952      4.64976      1.89604   2      6.27496
     -1.06691      6.16236      5.19495   1      6.28988
      1.50727      7.68580      4.61226   1      6.29757
     -0.93609      4.63196     -0.93079   2      6.37213
     -0.00148     -2.97004     -0.00723   1      6.38497
      0.00675      4.66572      8.11128   3      6.40968
     -1.07068     -2.95653      5.17395   1      6.43292
      8.79514      0.09345      1.15207   3      6.44436
      1.07217     -4.46668      2.90910   3      6.44751
     -2.47140      3.02196      6.56130   2      6.46763
      9.22747      3.12951      2.83433   1      6.48825
      7.22033      4.66327      7.07723   2      6.49528
     -1.40259      6.24089      1.38508   2      6.52222
      5.25130      7.58533      4.80797   2      6.52448
      4.71693      0.07780     -2.85193   3      6.54372
      6.98565     -1.51033      7.22222   2      6.55386
      3.00321     -4.49372      1.07511   3      6.56147
     -1.40636     -2.87800      1.36408   2      6.56426
      1.17309      7.56968      0.80396   2      6.57674
