natx =      362
    x       y        z       iph  
      0.33596      6.26577      3.82480   0      0.00000
     -1.06691      6.16236      5.19495   1      1.96368
      1.07595      4.65221      2.93010   3      1.98788
      1.50727      7.68580      4.61226   1      2.00214
      0.10390      7.58318      5.98514   2      2.54096
      2.67562      6.25655      5.38908   2      2.81444
     -0.12941      4.64165      6.13287   2      2.86034
     -2.00528      4.64546      4.25040   2      2.87888
      0.57211      9.20477      3.67105   2      2.95248
     -2.23619      7.59076      4.41639   2      2.95322
      2.91122      7.59290      3.23921   2      2.95570
     -1.40259      6.24089      1.38508   2      2.99590
      0.33563      3.03124      3.81486   2      3.23455
      3.14212      4.64761      3.07322   2      3.32533
      1.93779      4.63868      6.27730   3      3.35083
     -2.14042      4.62302      2.27329   3      3.35235
      0.93979      4.62814      0.95169   2      3.36173
      1.17309      7.56968      0.80396   2      3.39506
     -1.49590      9.20805      3.52743   3      3.47867
      0.43378      9.18638      1.69540   3      3.61578
     -1.06734      3.12521      5.18869   1      3.70035
      4.08050      6.16451      4.01778   1      3.75088
      0.00229      6.14886      0.01377   1      3.82740
     -2.47179      6.25440      6.56626   2      3.92418
      2.44599      9.20251      5.55628   2      4.00933
      3.00699      4.62517      1.09611   3      4.15593
     -1.63222      9.18685      1.55227   2      4.19176
      2.67600      3.02410      5.38413   2      4.29135
     -0.63542      9.19989      6.87658   3      4.34350
     -1.40221      3.00845      1.38012   2      4.42807
     -2.57094      7.67014      0.60825   1      4.55725
      0.00675      4.66572      8.11128   3      4.58721
     -3.64013      7.68365      5.78944   1      4.65612
      3.65150      9.21020      2.35025   3      4.67298
      1.50910     10.72230      4.61513   1      4.67563
     -4.07146      4.65006      4.10727   3      4.70273
     -3.97431      7.56753      1.98114   2      4.86540
      1.50533      1.60336      4.59413   1      4.86799
      4.08007      3.12736      4.01151   1      4.88905
      0.00186      3.11170      0.00750   1      4.96302
      3.74481      6.24304      0.20790   2      4.97019
     -1.16699      7.57725     -0.76480   2      5.00432
      1.84202      7.60641      8.42040   2      5.01847
      2.07292      4.66112      8.25440   2      5.02128
      0.10557     10.81520      5.98765   2      5.04265
      0.10179      1.69631      5.96665   2      5.05196
      5.01799      4.64380      4.95570   2      5.08243
     -2.47140      3.02196      6.56130   2      5.08842
     -4.20762      4.62599      2.12887   2      5.11949
      2.57647      7.67229     -0.56892   1      5.12864
     -2.70142      9.20036      6.73346   2      5.12814
      5.25130      7.58533      4.80797   2      5.18348
     -0.93609      4.63196     -0.93079   2      5.18682
      2.58231      9.22370      7.53143   3      5.24734
     -2.23445     10.82270      4.42126   2      5.26577
      2.91296     10.82480      3.24408   2      5.26905
     -2.23822      1.70380      4.40026   2      5.26964
      2.90918      1.70595      3.22308   2      5.27025
     -4.81116      6.26353      5.00167   2      5.27995
      5.48364      6.26783      2.64732   2      5.28063
      1.40544      6.25218     -1.35669   2      5.29073
     -0.73296      6.27919      9.00568   2      5.29002
     -3.20962      4.63653      7.45447   3      5.32917
      4.51199      9.20204      5.69940   3      5.43829
      1.17476     10.80170      0.80647   2      5.51258
      3.51518      9.18900      0.37510   2      5.52749
      1.17099      1.68281      0.78547   2      5.56222
     -3.74197      6.25003     -0.17951   2      5.71527
      4.41445      6.28134      7.82850   2      5.71524
     -4.57529      9.20262      4.84823   2      5.81316
      0.33940     12.15010      3.83586   2      5.88434
     -0.49708      9.21828      8.85224   2      5.88952
     -4.71363      9.18423      2.87257   3      5.90953
      3.74520      3.01060      0.20294   2      5.94449
      5.15415      4.66787      6.93410   3      5.95281
      3.01130      6.17802      9.19896   1      6.00389
     -5.14511      6.14671      1.19094   1      6.08223
      0.43807      7.69930      9.79344   1      6.13923
     -3.00226      4.63655     -1.07391   3      6.14780
     -0.73357      3.04475      8.99605   2      6.18552
      0.56834      0.08588      3.65005   2      6.18673
     -4.81178      3.02909      4.99204   2      6.19175
      5.48303      3.03339      2.63769   2      6.19272
     -2.56910     10.70660      0.61112   1      6.20388
      1.40482      3.01774     -1.36632   2      6.21610
      1.64131      9.19127     -1.51013   2      6.22286
     -0.42670      9.19454     -1.65376   3      6.25891
      5.71952      9.20692      2.49388   2      6.27729
     -3.63830     10.72010      5.79231   1      6.28545
     -1.06356     12.24410      5.20968   1      6.29420
     -3.50610      9.18912     -0.33296   2      6.37137
     -2.57288      1.58770      0.59012   1      6.38818
     -2.56510      9.22155      8.70861   3      6.40347
     -3.64207      1.60121      5.77131   1      6.43209
      6.22335      4.65436      1.75292   3      6.44598
     -1.49967      0.08915      3.50643   3      6.45148
     -5.04351      7.58103      7.16232   2      6.46588
      6.65468      7.68795      3.43508   1      6.48851
      4.65032      9.22043      7.67506   2      6.49371
     -3.97264     10.79960      1.98365   2      6.51993
      2.67977     12.14300      5.40513   2      6.52171
      2.14514      4.63870     -2.25109   3      6.54499
      4.41384      3.04690      7.81887   2      6.55308
      0.43001      0.06749      1.67440   3      6.56138
     -3.97642      1.68066      1.96265   2      6.56410
     -1.39843     12.12730      1.40112   2      6.57570
     -3.74258      3.01559     -0.18914   2      6.58102
      1.83999      1.71945      8.40427   2      6.62591
     -1.16525     10.80920     -0.75992   2      6.62692
      2.57830     10.70870     -0.56605   1      6.63681
      1.84376     10.83830      8.42527   2      6.65927
     -1.16902      1.69029     -0.78092   2      6.66428
      2.44221      0.08361      5.53528   2      6.75138
     -3.07448      4.65897      9.43158   2      6.75640
      3.01087      3.14087      9.19269   1      6.76272
      5.25297     10.81740      4.81048   2      6.77244
      5.24920      1.69846      4.78948   2      6.77723
     -5.27681      4.63950      7.31005   2      6.80404
      2.57453      1.58985     -0.58705   1      6.80734
     -5.14555      3.10955      1.18468   1      6.85412
      5.58118      9.18853      0.51822   3      6.85480
      1.60642      6.27005     10.57030   2      6.86410
     -1.63599      0.06796      1.53127   2      6.89650
      5.14970      6.15101     -1.16341   1      6.93307
      3.98041      7.57940     -1.94197   2      6.94718
     -3.30539      7.60426      9.59757   2      6.95528
     -0.63919      0.08100      6.85558   3      6.95614
     -6.55000      6.23874      2.56225   2      7.00080
     -2.13610      6.17587     10.37610   1      7.00276
