natx =      361
    x       y        z       iph  
      3.97838      1.69244     -1.95810   2      7.07376
      1.50533      1.60336      4.59413   1      7.07603
     -2.13665     13.74190      2.29429   3      7.16059
     -4.57529      9.20262      4.84823   2      7.21566
     -4.07592      6.13320     -3.99024   1      7.25233
     -2.70142      9.20036      6.73346   2      7.26844
     -2.67277      6.23652     -5.36070   2      7.38700
     -4.81116      6.26353      5.00167   2      7.42534
     -2.43690      9.17561     -5.51414   2      7.45170
      1.07106      3.09820     -5.17368   1      7.46547
      4.21509     13.75300     -2.08697   2      7.47320
     -6.31440      7.57510      0.41238   2      7.49752
     -1.06745     13.72840     -2.88690   3      7.52158
      7.59339      9.20465      4.37911   2      7.52855
      1.07483     12.21710     -5.15268   1      7.55587
      2.47463      6.23867     -6.53787   2      7.57408
     -0.09606     10.79570     -5.94111   2      7.58380
      7.82302      6.25870      4.21191   2      7.58662
      0.43001      0.06749      1.67440   3      7.58871
      0.13311      4.61845     -6.11197   2      7.59067
     -5.48080      6.22523     -2.61893   2      7.60224
     -3.63830     10.72010      5.79231   1      7.61307
      8.15439      4.62732     -0.08106   3      7.62760
      1.84202      7.60641      8.42040   2      7.64595
      3.64750     10.69520     -5.74724   1      7.66886
     -2.23822      1.70380      4.40026   2      7.67952
     -2.99849     13.75540     -1.05291   3      7.68860
      7.72570     10.71090     -1.74323   1      7.70039
      8.06036     10.82700      2.06691   2      7.72298
     -5.14555      3.10955      1.18468   1      7.74326
      8.28952      4.64976      1.89604   2      7.76940
     -2.00151     13.76440      4.27140   2      7.77679
     -5.71043      9.17119     -2.45173   2      7.78105
      6.55223      3.01989     -2.54350   2      7.80002
      6.55600     12.13880     -2.52250   2      7.80525
      8.79891      9.21234      1.17307   3      7.80972
      2.71050      9.17776     -6.69132   2      7.81851
      0.00606     15.26770      0.03477   1      7.82411
      0.64249      9.18103     -6.83494   3      7.82497
      8.66259      9.19115     -0.80208   2      7.82974
      4.41445      6.28134      7.82850   2      7.84297
     -6.08349      4.62981      0.24639   2      7.84902
     -5.14177     12.22840      1.20568   1      7.85764
      5.15415      4.66787      6.93410   3      7.86441
      1.63754      0.07237     -1.53113   2      7.86599
      3.51141      0.07011      0.35410   2      7.86832
      7.08519      4.64083      5.10012   3      7.87334
      4.65032      9.22043      7.67506   2      7.87601
      0.10179      1.69631      5.96665   2      7.89270
      6.65038      9.17502     -4.66296   3      7.90362
      6.31839      1.68496     -0.39171   2      7.90774
     -3.97642      1.68066      1.96265   2      7.90794
      2.24019      1.66930     -4.39571   2      7.93638
      0.00675      4.66572      8.11128   3      7.94918
      6.09096     13.74920     -0.20449   2      7.96204
      2.01276     13.73350     -4.20849   2      7.98907
      7.29255      4.64085     -3.42827   3      7.99611
      3.64773      0.09130      2.32925   3      8.02332
      0.56834      0.08588      3.65005   2      8.02928
      8.89222      6.24519     -0.96928   2      8.03030
     -6.55000      6.23874      2.56225   2      8.03154
     -1.63599      0.06796      1.53127   2      8.04305
      2.07292      4.66112      8.25440   2      8.04851
     -0.43048      0.07565     -1.67476   3      8.05425
      6.22712     13.77330      1.77392   3      8.06067
      1.40921     15.37110     -1.33569   2      8.09321
     -6.31266     10.80700      0.41725   2      8.16486
      5.24920      1.69846      4.78948   2      8.18348
     -2.47140      3.02196      6.56130   2      8.19195
      4.81817     12.11600     -4.95724   2      8.19451
     -2.46763     12.14080      6.58230   2      8.21834
      4.81439      2.99709     -4.97824   2      8.22189
     -1.39882     15.35980      1.40607   2      8.22597
     -2.90722      1.66715     -3.21854   2      8.22580
      3.74859     15.36190      0.22890   2      8.22726
     -1.93306      4.62305     -6.25510   3      8.25574
     -0.12564     13.76050      6.15387   2      8.28482
     -4.20384     13.74490      2.14987   2      8.29805
      1.94156     13.75760      6.29829   3      8.31102
      1.84376     10.83830      8.42527   2      8.31993
     -6.77963      9.18470      2.72945   2      8.34024
     -6.21863      4.60736     -1.73072   3      8.35658
      4.07995     13.73060     -4.06407   3      8.37306
     -0.49708      9.21828      8.85224   2      8.38354
     -1.49967      0.08915      3.50643   3      8.39051
      5.02177     13.76270      4.97670   2      8.40138
     -4.07635      3.09605     -3.99651   1      8.40293
      9.22790      6.16666      2.84060   1      8.42610
      0.34001     15.38460      3.84549   2      8.42747
     -3.13465     13.73140     -3.03132   2      8.44001
     -4.07258     12.21490     -3.97551   1      8.48163
     -3.20962      4.63653      7.45447   3      8.48755
     -1.50368      1.57419     -4.59106   1      8.49777
     -5.24520      7.56159     -4.76880   2      8.49981
      6.65274      1.60551      3.41695   1      8.51029
     -0.73296      6.27919      9.00568   2      8.51859
     -2.66961     12.12100     -5.34933   2      8.56410
     -2.67338      3.00208     -5.37033   2      8.58925
     -4.81178      3.02909      4.99204   2      8.60067
     -4.80800     12.14800      5.01304   2      8.62853
      1.49920      0.05398     -3.50679   3      8.67007
      6.98942      7.60856      7.24322   2      8.67748
      5.57741      0.06964      0.49722   3      8.70290
      3.01130      6.17802      9.19896   1      8.70592
      2.47779     12.12310     -6.52650   2      8.72773
      7.82341      3.02625      4.20695   2      8.74360
     -5.47664     12.11170     -2.60289   2      8.74384
      7.72971      9.22585      6.35426   3      8.74885
      2.47402      3.00423     -6.54750   2      8.75081
     -4.50491      9.17888     -5.65777   3      8.75104
      7.82718     12.14510      4.22795   2      8.77159
     -4.06769     13.76900      4.12827   3      8.77212
     -5.48041      2.99279     -2.62389   2      8.77277
      5.04961      7.56589     -7.12315   2      8.82422
      4.08427     15.28340      4.03878   1      8.85699
      6.21889      6.13750     -6.34459   1      8.86640
      9.12782      7.58155     -3.11915   2      8.86968
     -6.64914      7.65448     -3.39576   1      8.87853
      5.15347     15.26990     -1.14241   1      8.88429
     -6.64331      9.20590      4.70460   3      8.88745
      7.38969      7.55832     -5.55440   2      8.89249
     -5.04351      7.58103      7.16232   2      8.89233
     -2.56510      9.22155      8.70861   3      8.89870
     -0.56680      0.05445     -3.64991   2      8.90715
      5.71574      0.08803      2.47288   2      8.91034
     -3.50987      0.07022     -0.35396   2      8.91665
     -5.01430      4.61630     -4.93480   2      8.94062
     -7.71834      7.66799      1.78543   1      8.94579
      2.44221      0.08361      5.53528   2      8.94620
      4.41384      3.04690      7.81887   2      8.95360
      5.58548      7.70145      8.61627   1      8.97340
      3.21434      4.62520     -7.43227   3      8.98165
      4.41761     12.16580      7.83987   2      9.00889
      0.43807      7.69930      9.79344   1      9.02048
      4.71693      0.07780     -2.85193   3      9.05811
     -0.09983      1.67678     -5.96211   2      9.06209
     -5.24346     10.79350     -4.76393   2      9.08652
      7.15639      4.61678     -5.40667   2      9.11544
      1.16932     -1.54922      0.78296   2      9.11865
      1.17687     16.68860      0.82496   2      9.11922
      5.48742     15.38670      2.66832   2      9.12148
      8.05659      1.70810      2.04591   2      9.12595
     -6.54584     12.12520      2.57830   2      9.13688
     -3.64207      1.60121      5.77131   1      9.13666
      8.89260      3.01275     -0.97423   2      9.13886
     -6.54961      3.00630      2.55730   2      9.13966
      8.89638     12.13160     -0.95323   2      9.14075
     -0.32962     15.34630     -3.77511   2      9.14903
     -1.06313     15.28130      5.21595   1      9.16184
      7.22033      4.66327      7.07723   2      9.18543
      2.67939     15.37540      5.41008   2      9.18804
      2.57269     -1.44660     -0.58992   1      9.22987
      7.72193      1.59200     -1.76423   1      9.23117
      3.64372      1.57634     -5.76824   1      9.23118
     -2.57523      9.15722     -7.48980   3      9.23876
     -3.73820     15.36890     -0.15851   2      9.26699
      6.99116     10.84050      7.24809   2      9.27794
      0.13688     13.73730     -6.09097   2      9.30887
     -7.28782      4.62087      3.45046   3      9.34248
     -6.21431      6.16021      6.37213   1      9.35746
      8.15816     13.74620     -0.06007   3      9.36446
      5.05135     10.79780     -7.11828   2      9.39285
      9.65939      9.20419      4.52223   3      9.40847
     -6.64731     10.69090     -3.39289   1      9.40809
      9.22747      3.12951      2.83433   1      9.41869
      2.58024     16.79120     -0.54792   1      9.42600
      9.12956     10.81350     -3.11428   2      9.44376
     -0.00203      4.59601     -8.08908   3      9.45020
      7.39136     10.79030     -5.55189   2      9.45724
     -3.64820      0.05183     -2.32961   3      9.46444
     -5.04184     10.81310      7.16483   2      9.46605
     -7.71651     10.70440      1.78830   1      9.47727
      8.29330     13.76870      1.91704   2      9.50634
      5.58731     10.73790      8.61914   1      9.51865
     -6.31643      1.68814      0.39625   2      9.53129
      4.50821      0.08315      5.67840   3      9.53569
      9.23124     12.24840      2.85533   1      9.54140
     -1.17076     -1.54164     -0.78579   2      9.54102
      5.28051      4.62060     -7.28915   2      9.54281
     -6.07972     13.74870      0.26739   2      9.54315
     -1.16322     16.69610     -0.74379   2      9.54721
     -0.73357      3.04475      8.99605   2      9.55085
      0.43991     10.73580      9.79631   1      9.56175
      2.90744     -1.52599      3.21821   2      9.56891
     10.63100      6.26998      1.47014   2      9.57018
      7.08897     13.75970      5.12112   3      9.58949
     -0.72980     12.16360      9.01705   2      9.60120
      9.35872      4.63625     -3.28514   2      9.60892
      5.15793     13.78680      6.95510   3      9.61114
      1.83999      1.71945      8.40427   2      9.61421
     -5.27681      4.63950      7.31005   2      9.61838
      2.91499     16.71180      3.26021   2      9.62558
     -8.05252      7.55187     -2.02287   2      9.64878
     10.39870      7.58748      3.63079   2      9.64921
      3.01087      3.14087      9.19269   1      9.66242
     -1.83592      7.54051     -8.38123   2      9.66540
      4.18211      7.59884      9.98915   2      9.66568
      7.29632     13.75970     -3.40727   3      9.67212
      0.01052     13.78460      8.13228   3      9.67911
      2.57217      9.15937     -8.66697   3      9.70479
      1.07526     15.25420     -5.14642   1      9.71965
     10.29710      6.15316     -2.34058   1      9.75421
     -4.71740      0.06534      2.85157   3      9.75703
      2.07670     13.78000      8.27540   2      9.75766
      0.50617      9.15983     -8.81009   2      9.76741
     -2.57471     -1.44875      0.58725   1      9.76825
      1.50350     -1.43310      4.59126   1      9.77235
     -0.63919      0.08100      6.85558   3      9.79709
     -8.14967      4.63440      0.10326   3      9.79874
     10.72860      9.19068     -0.65896   3      9.80204
      3.01464     12.25980      9.21369   1      9.80391
     -7.38359      7.58861      5.59357   2      9.80586
      6.21846      3.10035     -6.35086   1      9.82958
     10.86690      9.20907      1.31670   2      9.84506
     -1.92929     13.74190     -6.23410   3      9.86186
      1.60642      6.27005     10.57030   2      9.86201
     -3.30539      7.60426      9.59757   2      9.86839
      0.73580      6.21387     -8.97729   2      9.88432
      6.22223     12.21920     -6.32986   1      9.89983
     10.16540      4.64595      3.77852   2      9.91264
      3.97664     -1.53950     -1.96297   2      9.92415
      3.98418     16.69830     -1.92097   2      9.93302
     -6.21485     13.72630     -1.70972   3      9.94003
     -2.56716     16.78900      0.62925   1      9.95084
     -8.65350      9.18697      0.84422   2      9.95872
     -7.15269      4.64331      5.42757   2      9.96272
     -5.14134     15.26560      1.21194   1      9.96330
      4.58061      0.05660     -4.82709   2      9.98813
