# # Li2IrO3_O_Kedge                                              FEFF 9.6.4  
# # POT  SCF 100  8.0000   0, screened core-hole, AFOLP (folp(0)= 1.300)
# # Abs   Z= 8 Rmt= 1.012 Rnm= 1.076 K  shell
# # Pot 1 Z=77 Rmt= 1.335 Rnm= 1.421
# # Pot 2 Z= 8 Rmt= 1.012 Rnm= 1.076
# # Pot 3 Z= 3 Rmt= 1.265 Rnm= 1.333
# # Gam_ch=1.559E-01 H-L exch Vi= 3.000E-01 Vr= 1.000E+00
# # Mu=-7.801E+00eV kf=2.219E+00 Vint=-1.512E+01eV Rs_int= 1.634
# FMS rfms= 9.9000
# # PATH  Rmax= 0.100,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   5.00000E-01
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#     0/   0 paths used
#  xsedge+ 50, used to normalize mu           4.8610E-03
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
     555.079     16.955   2.600  9.83134E-01  1.07405E+00 -9.09155E-02
     556.079     17.955   2.650  1.02797E+00  1.07126E+00 -4.32949E-02
     557.098     18.974   2.700  1.04882E+00  1.06843E+00 -1.96075E-02
     558.136     20.012   2.750  1.05133E+00  1.06553E+00 -1.41920E-02
     559.194     21.069   2.800  1.06615E+00  1.06254E+00  3.61060E-03
     560.270     22.146   2.850  1.12178E+00  1.05945E+00  6.23328E-02
     561.365     23.241   2.900  1.21899E+00  1.05624E+00  1.62746E-01
     562.480     24.356   2.950  1.31826E+00  1.05290E+00  2.65353E-01
     563.613     25.489   3.000  1.35843E+00  1.04942E+00  3.09008E-01
     564.766     26.641   3.050  1.29743E+00  1.04578E+00  2.51651E-01
     565.937     27.813   3.100  1.17805E+00  1.04197E+00  1.36079E-01
     567.128     29.004   3.150  1.07557E+00  1.03798E+00  3.75965E-02
     568.338     30.213   3.200  1.01009E+00  1.03380E+00 -2.37047E-02
     569.566     31.442   3.250  9.72340E-01  1.02942E+00 -5.70787E-02
     570.814     32.690   3.300  9.52824E-01  1.02483E+00 -7.20094E-02
     572.081     33.957   3.350  9.46328E-01  1.02004E+00 -7.37116E-02
     573.367     35.243   3.400  9.49525E-01  1.01503E+00 -6.55077E-02
     574.672     36.547   3.450  9.59661E-01  1.00982E+00 -5.01545E-02
     575.996     37.871   3.500  9.72130E-01  1.00438E+00 -3.22502E-02
     577.339     39.214   3.550  9.78950E-01  9.98725E-01 -1.97750E-02
     578.701     40.577   3.600  9.73203E-01  9.92861E-01 -1.96586E-02
     580.082     41.958   3.650  9.55584E-01  9.86794E-01 -3.12091E-02
     581.482     43.358   3.700  9.33983E-01  9.80520E-01 -4.65379E-02
     582.901     44.777   3.750  9.15130E-01  9.74051E-01 -5.89216E-02
     584.340     46.215   3.800  9.00180E-01  9.67397E-01 -6.72178E-02
     585.797     47.673   3.850  8.88794E-01  9.60561E-01 -7.17668E-02
     587.273     49.149   3.900  8.81731E-01  9.53557E-01 -7.18258E-02
     588.769     50.644   3.950  8.79346E-01  9.46391E-01 -6.70451E-02
     590.283     52.159   4.000  8.81818E-01  9.39077E-01 -5.72589E-02
     591.817     53.692   4.050  8.87670E-01  9.31623E-01 -4.39534E-02
     593.369     55.245   4.100  8.92955E-01  9.24050E-01 -3.10954E-02
     594.941     56.817   4.150  8.94672E-01  9.16373E-01 -2.17006E-02
     596.532     58.407   4.200  8.93810E-01  9.08591E-01 -1.47817E-02
     598.141     60.017   4.250  8.95447E-01  9.00722E-01 -5.27586E-03
     599.770     61.646   4.300  9.03296E-01  8.92789E-01  1.05071E-02
     601.418     63.294   4.350  9.12094E-01  8.84803E-01  2.72910E-02
     603.085     64.960   4.400  9.10860E-01  8.76773E-01  3.40864E-02
     604.771     66.646   4.450  8.95847E-01  8.68717E-01  2.71300E-02
     606.476     68.351   4.500  8.74130E-01  8.60657E-01  1.34738E-02
     608.200     70.075   4.550  8.53644E-01  8.52619E-01  1.02504E-03
     609.943     71.818   4.600  8.37773E-01  8.44638E-01 -6.86540E-03
     611.705     73.581   4.650  8.26549E-01  8.36667E-01 -1.01174E-02
