natx =      362
    x       y        z       iph  
      3.74514      3.01104      0.20272   0      0.00000
      5.14926      3.11385     -1.16968   1      1.96611
      3.00699      4.62517      1.09611   3      1.98706
      2.57453      1.58985     -0.58705   1      2.00346
      3.97838      1.69244     -1.95810   2      2.54210
      1.40482      3.01774     -1.36632   2      2.81763
      4.21132      4.63410     -2.10796   2      2.86197
      6.08719      4.63029     -0.22549   2      2.87933
      3.51141      0.07011      0.35410   2      2.95408
      1.17099      1.68281      0.78547   2      2.95466
      6.31839      1.68496     -0.39171   2      2.95524
      5.48303      3.03339      2.63769   2      2.99163
      3.74481      6.24304      0.20790   2      3.23200
      0.93979      4.62814      0.95169   2      3.32355
      2.14514      4.63870     -2.25109   3      3.35119
      6.22335      4.65436      1.75292   3      3.35338
      3.14212      4.64761      3.07322   2      3.35883
      2.90918      1.70595      3.22308   2      3.39480
      5.57741      0.06964      0.49722   3      3.47790
      3.64773      0.09130      2.32925   3      3.61338
      5.14970      6.15101     -1.16341   1      3.70115
      0.00186      3.11170      0.00750   1      3.74972
      4.08007      3.12736      4.01151   1      3.82526
      6.55223      3.01989     -2.54350   2      3.92703
      1.63754      0.07237     -1.53113   2      4.01049
      1.07595      4.65221      2.93010   3      4.15411
      5.71574      0.08803      2.47288   2      4.19296
      1.40544      6.25218     -1.35669   2      4.29080
      4.71693      0.07780     -2.85193   3      4.34502
      5.48364      6.26783      2.64732   2      4.42777
      6.65274      1.60551      3.41695   1      4.55642
      4.07618      4.61166     -4.08507   3      4.58876
      7.72193      1.59200     -1.76423   1      4.65805
      0.43001      0.06749      1.67440   3      4.67123
      2.57269     -1.44660     -0.58992   1      4.67691
      8.15439      4.62732     -0.08106   3      4.70472
      8.05659      1.70810      2.04591   2      4.86658
      2.57647      7.67229     -0.56892   1      4.86708
      0.00229      6.14886      0.01377   1      4.88780
      4.08050      6.16451      4.01778   1      4.96100
      0.33563      3.03124      3.81486   2      4.96716
      5.24920      1.69846      4.78948   2      5.00234
      2.24019      1.66930     -4.39571   2      5.02103
      2.00898      4.61463     -4.22949   2      5.02297
      3.97664     -1.53950     -1.96297   2      5.04492
      3.98041      7.57940     -1.94197   2      5.05222
     -0.93609      4.63196     -0.93079   2      5.08194
      6.55284      6.25433     -2.53387   2      5.08832
      8.28952      4.64976      1.89604   2      5.11900
      1.50533      1.60336      4.59413   1      5.12667
      6.78494      0.07452     -2.70831   2      5.13202
     -1.16902      1.69029     -0.78092   2      5.18275
      5.01799      4.64380      4.95570   2      5.18429
      1.49920      0.05398     -3.50679   3      5.24871
      6.31673     -1.54707     -0.39422   2      5.26743
      1.17309      7.56968      0.80396   2      5.26860
      1.16932     -1.54922      0.78296   2      5.26949
      6.32050      7.57183     -0.37322   2      5.26925
     -1.40221      3.00845      1.38012   2      5.28029
      8.89260      3.01275     -0.97423   2      5.28030
