natx =      358
    x       y        z       iph  
      0.56806      0.08570      3.65027   0      0.00000
      0.43001      0.06749      1.67440   3      1.98077
      1.50350     -1.43310      4.59126   1      2.01675
      1.50533      1.60336      4.59413   1      2.01808
     -1.49967      0.08915      3.50643   3      2.07273
      2.44221      0.08361      5.53528   2      2.65814
      0.10179      1.69631      5.96665   2      2.85956
      0.10013     -1.53571      5.96414   2      2.86390
      2.90744     -1.52599      3.21821   2      2.87349
      2.90918      1.70595      3.22308   2      2.87898
      0.33247     -2.85321      3.80349   2      2.95232
      0.33563      3.03124      3.81486   2      2.95928
     -1.63599      0.06796      1.53127   2      3.05750
     -2.23996     -1.52814      4.39539   2      3.32335
     -2.23822      1.70380      4.40026   2      3.32505
      1.17099      1.68281      0.78547   2      3.33487
      3.64773      0.09130      2.32925   3      3.35104
      1.16932     -1.54922      0.78296   2      3.35499
     -0.63919      0.08100      6.85558   3      3.42513
     -1.07068     -2.95653      5.17395   1      3.77654
     -1.06734      3.12521      5.18869   1      3.77887
      2.67184     -2.86235      5.36808   2      4.00846
      2.67600      3.02410      5.38413   2      4.01047
     -1.40221      3.00845      1.38012   2      4.19261
     -1.40636     -2.87800      1.36408   2      4.23185
      2.57853      0.10481      7.51043   3      4.35238
      3.51141      0.07011      0.35410   2      4.41908
      4.50821      0.08315      5.67840   3      4.43149
     -2.70519      0.08146      6.71246   2      4.48232
     -2.57288      1.58770      0.59012   1      4.63530
      1.07217     -4.46668      2.90910   3      4.63979
     -2.57471     -1.44875      0.58725   1      4.64905
      1.07595      4.65221      2.93010   3      4.65076
      4.07673     -2.95438      3.99678   1      4.65542
      4.08007      3.12736      4.01151   1      4.66009
      0.00186      3.11170      0.00750   1      4.76938
     -0.00148     -2.97004     -0.00723   1      4.79992
      2.57453      1.58985     -0.58705   1      4.92375
      2.57269     -1.44660     -0.58992   1      4.93414
     -3.64207      1.60121      5.77131   1      4.95185
     -3.64391     -1.43525      5.76844   1      4.95385
     -1.16902      1.69029     -0.78092   2      5.02271
     -1.17076     -1.54164     -0.78579   2      5.03491
      5.24920      1.69846      4.78948   2      5.08054
      5.24753     -1.53356      4.78697   2      5.08050
     -3.97642      1.68066      1.96265   2      5.10336
     -3.97808     -1.55137      1.96014   2      5.11898
     -2.47140      3.02196      6.56130   2      5.13167
     -2.47556     -2.86450      6.54526   2      5.13306
      1.83825     -1.51248      8.39940   2      5.16931
      1.83999      1.71945      8.40427   2      5.18531
     -0.13318     -4.47724      6.11188   2      5.23180
     -0.12941      4.64165      6.13287   2      5.23512
      3.13835     -4.47128      3.05222   2      5.26594
     -2.00906     -4.47343      4.22940   2      5.26902
      3.14212      4.64761      3.07322   2      5.26971
     -2.00528      4.64546      4.25040   2      5.27007
     -4.57907      0.08373      4.82723   2      5.27998
      5.71574      0.08803      2.47288   2      5.28061
      1.63754      0.07237     -1.53113   2      5.29064
     -0.50086      0.09939      8.83124   2      5.29011
      0.93979      4.62814      0.95169   2      5.29663
      0.93602     -4.49075      0.93069   2      5.33624
     -4.71740      0.06534      2.85157   3      5.34550
     -0.43048      0.07565     -1.67476   3      5.41785
      1.93779      4.63868      6.27730   3      5.43204
      1.93402     -4.48022      6.25630   3      5.43184
     -2.14042      4.62302      2.27329   3      5.46070
     -2.14419     -4.49587      2.25229   3      5.50467
      3.74520      3.01060      0.20294   2      5.52570
      3.74104     -2.87585      0.18690   2      5.55279
     -3.50987      0.07022     -0.35396   2      5.71521
      4.64655      0.10154      7.65406   2      5.71530
      3.00699      4.62517      1.09611   3      5.75143
      3.00321     -4.49372      1.07511   3      5.79072
      5.47987     -2.85106      2.62632   2      5.81368
      5.48303      3.03339      2.63769   2      5.81989
      1.40482      3.01774     -1.36632   2      5.87054
      1.40166     -2.86672     -1.37769   2      5.89000
      5.57741      0.06964      0.49722   3      5.91909
     -2.56887      0.10266      8.68761   3      5.93426
      0.33186     -6.08765      3.79386   2      6.17954
      0.33624      6.26568      3.82449   2      6.18678
     -0.73673     -2.83970      8.98468   2      6.22225
     -0.73357      3.04475      8.99605   2      6.24721
      6.65090     -1.43095      3.41408   1      6.27351
      6.65274      1.60551      3.41695   1      6.27595
     -4.81494     -2.85536      4.98067   2      6.27666
     -4.81178      3.02909      4.99204   2      6.27747
      0.43430     -1.41959      9.77244   1      6.30593
      0.43613      1.61686      9.77531   1      6.31490
      4.41068     -2.83755      7.80750   2      6.37132
      0.00298     -4.45317      8.09028   3      6.37451
      4.41384      3.04690      7.81887   2      6.39812
      0.00675      4.66572      8.11128   3      6.41812
     -3.74258      3.01559     -0.18914   2      6.47356
     -1.07111     -5.99368      5.16769   1      6.47675
     -1.06691      6.16236      5.19495   1      6.47958
     -3.74574     -2.86887     -0.20051   2      6.49360
      5.01422     -4.47509      4.93470   2      6.49761
      5.01799      4.64380      4.95570   2      6.50248
     -4.07523     -4.46883      4.08627   3      6.51874
     -4.07146      4.65006      4.10727   3      6.52437
      2.06915     -4.45777      8.23340   2      6.62582
     -0.93609      4.63196     -0.93079   2      6.62699
     -0.93986     -4.48694     -0.95179   2      6.66047
      2.07292      4.66112      8.25440   2      6.66311
      2.67562      6.25655      5.38908   2      6.74868
      2.67223     -6.09479      5.36313   2      6.74981
      3.97838      1.69244     -1.95810   2      6.75764
      3.00753     -2.94087      9.17796   1      6.75770
     -4.20762      4.62599      2.12887   2      6.76284
      3.97664     -1.53950     -1.96297   2      6.76522
      3.01087      3.14087      9.19269   1      6.78379
     -4.21139     -4.49290      2.10787   2      6.79601
     -5.04561      1.69416      7.14383   2      6.80481
     -5.04728     -1.53786      7.14132   2      6.80848
     -1.40259      6.24089      1.38508   2      6.84842
     -1.40598     -6.11044      1.35912   2      6.89481
     -5.14555      3.10955      1.18468   1      6.91868
     -5.14889     -2.97219      1.16995   1      6.94163
      4.07629     -5.99153      3.99051   1      7.02539
      4.08050      6.16451      4.01778   1      7.03024
     -3.20962      4.63653      7.45447   3      7.03227
     -3.21339     -4.48237      7.43347   3      7.03415
      7.58962      0.08576      4.35811   2      7.05715
      0.00229      6.14886      0.01377   1      7.09268
      1.37302      0.09712     10.71650   2      7.11194
     -0.00191     -6.00719     -0.01350   1      7.13242
      5.58171     -1.41744      8.59527   1      7.20063
      6.31839      1.68496     -0.39171   2      7.20843
      5.58354      1.61901      8.59814   1      7.21024
      6.31673     -1.54707     -0.39422   2      7.21603
      1.49920      0.05398     -3.50679   3      7.21745
      5.15038     -4.45102      6.91310   3      7.22672
     -3.30916     -1.51463      9.57657   2      7.26050
      5.15415      4.66787      6.93410   3      7.26719
     -3.30742      1.71730      9.58144   2      7.27050
     -6.64708      0.08700      4.68360   3      7.28876
      5.14926      3.11385     -1.16968   1      7.30678
     -3.64820      0.05183     -2.32961   3      7.31690
      5.14592     -2.96789     -1.18441   1      7.32498
     -0.56680      0.05445     -3.64991   2      7.38793
     -6.78340      0.06581      2.70845   2      7.41157
     -5.57788      0.07350     -0.49758   3      7.41467
      4.17833     -1.52005      9.96815   2      7.45172
      4.18000      1.71197      9.97066   2      7.45910
     -3.00226      4.63655     -1.07391   3      7.46829
     -2.47179      6.25440      6.56626   2      7.46971
