natx =      362
    x       y        z       iph  
      2.91124      7.59274      3.23903   0      0.00000
      1.50727      7.68580      4.61226   1      1.96610
      3.65150      9.21020      2.35025   3      1.98849
      4.08050      6.16451      4.01778   1      2.00336
      2.67562      6.25655      5.38908   2      2.54237
      5.25130      7.58533      4.80797   2      2.81736
      2.44599      9.20251      5.55628   2      2.85963
      0.57211      9.20477      3.67105   2      2.87347
      5.48364      6.26783      2.64732   2      2.95343
      0.33624      6.26568      3.82449   2      2.95541
      3.14212      4.64761      3.07322   2      2.95882
      1.17309      7.56968      0.80396   2      2.99187
      2.91296     10.82480      3.24408   2      3.23206
      5.71952      9.20692      2.49388   2      3.32374
      0.43378      9.18638      1.69540   3      3.32570
      3.51518      9.18900      0.37510   2      3.33390
      4.51199      9.20204      5.69940   3      3.34749
      3.74481      6.24304      0.20790   2      3.42115
      1.07595      4.65221      2.93010   3      3.48001
      3.00699      4.62517      1.09611   3      3.66166
      1.50910     10.72230      4.61513   1      3.69510
      6.65468      7.68795      3.43508   1      3.74978
      2.57647      7.67229     -0.56892   1      3.82346
      0.10390      7.58318      5.98514   2      3.92713
      5.01799      4.64380      4.95570   2      4.01019
      5.58118      9.18853      0.51822   3      4.13255
      0.93979      4.62814      0.95169   2      4.23171
      5.25297     10.81740      4.81048   2      4.28388
      1.93779      4.63868      6.27730   3      4.34801
      1.17476     10.80170      0.80647   2      4.38522
      0.00229      6.14886      0.01377   1      4.57702
      2.58231      9.22370      7.53143   3      4.60358
     -1.06691      6.16236      5.19495   1      4.65803
      6.22335      4.65436      1.75292   3      4.67040
      4.08007      3.12736      4.01151   1      4.68001
     -1.49590      9.20805      3.52743   3      4.70269
      4.08384     12.24630      4.03251   1      4.86418
      6.65651     10.72440      3.43795   1      4.88609
     -1.40259      6.24089      1.38508   2      4.88608
      2.57830     10.70870     -0.56605   1      4.92937
      6.32050      7.57183     -0.37322   2      4.96708
      4.41445      6.28134      7.82850   2      5.00426
      1.40544      6.25218     -1.35669   2      5.01848
      4.65032      9.22043      7.67506   2      5.03509
      2.67977     12.14300      5.40513   2      5.04484
      2.67600      3.02410      5.38413   2      5.05265
      0.10557     10.81520      5.98765   2      5.08045
      7.59339      9.20465      4.37911   2      5.08139
     -1.63222      9.18685      1.55227   2      5.10190
     -0.12941      4.64165      6.13287   2      5.13116
      5.14970      6.15101     -1.16341   1      5.14497
      1.64131      9.19127     -1.51013   2      5.16938
      7.82302      6.25870      4.21191   2      5.18187
      5.15415      4.66787      6.93410   3      5.21910
      0.33940     12.15010      3.83586   2      5.26689
      5.48680     12.15230      2.65869   2      5.26877
      5.48303      3.03339      2.63769   2      5.26910
      0.33563      3.03124      3.81486   2      5.26997
     -2.23619      7.59076      4.41639   2      5.28036
      8.05862      7.59505      2.06204   2      5.28023
      3.98041      7.57940     -1.94197   2      5.29019
      1.84202      7.60641      8.42040   2      5.29056
     -0.63542      9.19989      6.87658   3      5.32855
      7.08519      4.64083      5.10012   3      5.44052
      3.74897     12.12950      0.22394   2      5.51133
      6.08719      4.63029     -0.22549   2      5.55569
      3.74520      3.01060      0.20294   2      5.55962
     -1.16699      7.57725     -0.76480   2      5.71514
      6.98942      7.60856      7.24322   2      5.71536
     -2.00528      4.64546      4.25040   2      5.82078
      2.07292      4.66112      8.25440   2      5.86951
      2.90918      1.70595      3.22308   2      5.88681
      6.32217     10.80380     -0.37071   2      5.91401
     -2.14042      4.62302      2.27329   3      5.93895
      7.72971      9.22585      6.35426   3      5.96568
      5.58548      7.70145      8.61627   1      6.00650
     -2.57094      7.67014      0.60825   1      6.08122
      3.01130      6.17802      9.19896   1      6.12635
     -0.42670      9.19454     -1.65376   3      6.13572
      3.14589     13.76650      3.09422   2      6.17991
      3.98215     10.81130     -1.93710   2      6.18856
     -2.23445     10.82270      4.42126   2      6.18938
      8.06036     10.82700      2.06691   2      6.19256
      1.84376     10.83830      8.42527   2      6.21050
      0.00186      3.11170      0.00750   1      6.24396
      4.21132      4.63410     -2.10796   2      6.24772
      8.28952      4.64976      1.89604   2      6.27620
      2.14514      4.63870     -2.25109   3      6.28130
     -1.06734      3.12521      5.18869   1      6.29199
      1.50533      1.60336      4.59413   1      6.29965
      0.00563     12.23060      0.02850   1      6.34506
      0.00675      4.66572      8.11128   3      6.38297
     -0.93609      4.63196     -0.93079   2      6.39965
     -1.06356     12.24410      5.20968   1      6.42788
      8.79891      9.21234      1.17307   3      6.44639
      1.07972     13.77110      2.95109   3      6.45054
     -2.47179      6.25440      6.56626   2      6.46828
      7.22033      4.66327      7.07723   2      6.47162
      9.22790      6.16666      2.84060   1      6.48788
      3.01076     13.74410      1.11711   3      6.50782
     -1.39843     12.12730      1.40112   2      6.52023
      5.24920      1.69846      4.78948   2      6.52782
      4.72070      9.19669     -2.83093   3      6.53385
     -1.16525     10.80920     -0.75992   2      6.55401
     -1.40221      3.00845      1.38012   2      6.56332
      6.99116     10.84050      7.24809   2      6.57771
      4.41384      3.04690      7.81887   2      6.62551
      1.40860     12.13660     -1.34532   2      6.62728
      1.17099      1.68281      0.78547   2      6.63142
      4.41761     12.16580      7.83987   2      6.65956
      1.40482      3.01774     -1.36632   2      6.66402
      5.14926      3.11385     -1.16968   1      6.67128
      5.02177     13.76270      4.97670   2      6.74850
     -0.49708      9.21828      8.85224   2      6.76514
      5.15304     12.23270     -1.14868   1      6.76808
      7.82718     12.14510      4.22795   2      6.77262
      7.82341      3.02625      4.20695   2      6.77636
      5.58731     10.73790      8.61914   1      6.78225
     -2.70142      9.20036      6.73346   2      6.80422
     -2.56910     10.70660      0.61112   1      6.82907
      0.94356     13.74700      0.97269   2      6.84711
      4.18211      7.59884      9.98915   2      6.86872
      8.15439      4.62732     -0.08106   3      6.87803
      7.72387      7.67444     -1.74610   1      6.92962
     -0.73296      6.27919      9.00568   2      6.94693
      1.94156     13.75760      6.29829   3      6.95017
      6.55284      6.25433     -2.53387   2      6.95550
     -3.97431      7.56753      1.98114   2      6.99955
      0.43807      7.69930      9.79344   1      7.00630
     -3.64013      7.68365      5.78944   1      7.03088
      1.50298      9.17288     -3.48579   3      7.05005
      9.65939      9.20419      4.52223   3      7.05556
      6.65274      1.60551      3.41695   1      7.06239
      0.10179      1.69631      5.96665   2      7.07819
      2.57453      1.58985     -0.58705   1      7.12650
      6.22712     13.77330      1.77392   3      7.16526
      8.66259      9.19115     -0.80208   2      7.20857
      8.15871      6.18017      8.02178   1      7.23920
      6.78871      9.19342     -2.68731   2      7.26075
      6.75382      6.27220      9.39309   2      7.37439
      3.01087      3.14087      9.19269   1      7.43473
      8.89222      6.24519     -0.96928   2      7.43625
      6.52419      9.21816      9.56029   2      7.46014
     -0.12564     13.76050      6.15387   2      7.46727
     10.39870      7.58748      3.63079   2      7.49770
     -3.50610      9.18912     -0.33296   2      7.51597
      1.60642      6.27005     10.57030   2      7.56304
      5.15793     13.78680      6.95510   3      7.56460
      3.94880      4.65731     10.13690   2      7.56795
      3.01464     12.25980      9.21369   1      7.58213
      9.56185      6.28349      6.65133   2      7.58871
      3.64773      0.09130      2.32925   3      7.59221
      4.18377     10.83090      9.99166   2      7.59625
      7.72570     10.71090     -1.74323   1      7.59769
     -3.74197      6.25003     -0.17951   2      7.59964
     -4.07146      4.65006      4.10727   3      7.62701
      2.24229      7.55617     -4.37722   2      7.64566
      0.43991     10.73580      9.79631   1      7.68012
      7.08897     13.75970      5.12112   3      7.68291
     -3.63830     10.72010      5.79231   1      7.69390
