natx =      359
    x       y        z       iph  
      3.51113      0.07039      0.35434   0      0.00000
      3.64773      0.09130      2.32925   3      1.97974
      2.57269     -1.44660     -0.58992   1      2.01831
      2.57453      1.58985     -0.58705   1      2.01797
      5.57741      0.06964      0.49722   3      2.07121
      1.63754      0.07237     -1.53113   2      2.65807
      3.97664     -1.53950     -1.96297   2      2.85979
      3.97838      1.69244     -1.95810   2      2.86300
      1.17099      1.68281      0.78547   2      2.87437
      1.16932     -1.54922      0.78296   2      2.87940
      3.74520      3.01060      0.20294   2      2.95340
      3.74104     -2.87585      0.18690   2      2.95994
      5.71574      0.08803      2.47288   2      3.05759
      6.31839      1.68496     -0.39171   2      3.32327
      6.31673     -1.54707     -0.39422   2      3.32384
      2.90744     -1.52599      3.21821   2      3.33386
      0.43001      0.06749      1.67440   3      3.35199
      2.90918      1.70595      3.22308   2      3.35665
      4.71693      0.07780     -2.85193   3      3.42552
      5.14592     -2.96789     -1.18441   1      3.77776
      5.14926      3.11385     -1.16968   1      3.77740
      1.40166     -2.86672     -1.37769   2      4.00954
      1.40482      3.01774     -1.36632   2      4.01050
      5.47987     -2.85106      2.62632   2      4.19198
      5.48303      3.03339      2.63769   2      4.22865
      1.49920      0.05398     -3.50679   3      4.35390
      0.56834      0.08588      3.65005   2      4.41837
     -0.43048      0.07565     -1.67476   3      4.43323
      6.78494      0.07452     -2.70831   2      4.48304
      6.65090     -1.43095      3.41408   1      4.63402
      3.00699      4.62517      1.09611   3      4.64224
      6.65274      1.60551      3.41695   1      4.64821
      3.00321     -4.49372      1.07511   3      4.64850
      0.00186      3.11170      0.00750   1      4.65670
     -0.00148     -2.97004     -0.00723   1      4.65976
      4.07673     -2.95438      3.99678   1      4.76828
      4.08007      3.12736      4.01151   1      4.80038
      1.50350     -1.43310      4.59126   1      4.92367
      1.50533      1.60336      4.59413   1      4.93448
      7.72010     -1.44445     -1.76710   1      4.95083
      7.72193      1.59200     -1.76423   1      4.95323
      5.24753     -1.53356      4.78697   2      5.02354
      5.24920      1.69846      4.78948   2      5.03408
     -1.16902      1.69029     -0.78092   2      5.08101
     -1.17076     -1.54164     -0.78579   2      5.08120
      8.05485     -1.52384      2.04104   2      5.10215
      8.05659      1.70810      2.04591   2      5.11905
      6.54907     -2.86457     -2.55487   2      5.12899
      6.55223      3.01989     -2.54350   2      5.13277
      2.24019      1.66930     -4.39571   2      5.17057
      2.23852     -1.56272     -4.39822   2      5.18396
      4.21132      4.63410     -2.10796   2      5.23265
      4.20754     -4.48479     -2.12896   2      5.23464
      0.93979      4.62814      0.95169   2      5.26704
      6.08342     -4.48860     -0.24649   2      5.26897
      6.08719      4.63029     -0.22549   2      5.26925
      0.93602     -4.49075      0.93069   2      5.26948
      8.65881      0.07225     -0.82308   2      5.28062
     -1.63599      0.06796      1.53127   2      5.27996
      4.58061      0.05660     -4.82709   2      5.29067
      2.44221      0.08361      5.53528   2      5.29008
      3.13835     -4.47128      3.05222   2      5.29569
      3.14212      4.64761      3.07322   2      5.33661
      8.79514      0.09345      1.15207   3      5.34394
      4.50821      0.08315      5.67840   3      5.41664
      2.14137     -4.48019     -2.27209   3      5.42975
      2.14514      4.63870     -2.25109   3      5.43357
      6.21958     -4.46453      1.73192   3      5.45884
      6.22335      4.65436      1.75292   3      5.50681
      0.33247     -2.85321      3.80349   2      5.52702
      0.33563      3.03124      3.81486   2      5.55208
     -0.56680      0.05445     -3.64991   2      5.71522
      7.58962      0.08576      4.35811   2      5.71529
      1.07217     -4.46668      2.90910   3      5.74981
      1.07595      4.65221      2.93010   3      5.79290
     -1.40221      3.00845      1.38012   2      5.81595
     -1.40636     -2.87800      1.36408   2      5.82188
      2.67184     -2.86235      5.36808   2      5.86881
      2.67600      3.02410      5.38413   2      5.89242
     -1.49967      0.08915      3.50643   3      5.91981
      6.64661      0.05613     -4.68396   3      5.93430
      3.74481      6.24304      0.20790   2      6.17881
      3.74143     -6.10830      0.18194   2      6.18538
      4.81439      2.99709     -4.97824   2      6.22097
      4.81024     -2.88936     -4.99428   2      6.24944
     -2.57288      1.58770      0.59012   1      6.27479
      8.89260      3.01275     -0.97423   2      6.27557
      8.88844     -2.87370     -0.99028   2      6.27624
     -2.57471     -1.44875      0.58725   1      6.27690
      3.64372      1.57634     -5.76824   1      6.30646
      3.64189     -1.46011     -5.77111   1      6.31511
     -0.33301      2.99494     -3.80106   2      6.37164
      4.07618      4.61166     -4.08507   3      6.37580
     -0.33717     -2.89151     -3.81711   2      6.40182
      4.07241     -4.50723     -4.10607   3      6.41599
      7.81925     -2.86020      4.19091   2      6.47051
      5.14549     -6.00504     -1.19067   1      6.47835
      5.14970      6.15101     -1.16341   1      6.47784
      7.82341      3.02625      4.20695   2      6.49426
     -0.93609      4.63196     -0.93079   2      6.49902
     -0.93986     -4.48694     -0.95179   2      6.50281
      8.15439      4.62732     -0.08106   3      6.52036
      8.15062     -4.49157     -0.10206   3      6.52263
      5.01422     -4.47509      4.93470   2      6.62574
      2.00898      4.61463     -4.22949   2      6.62707
      5.01799      4.64380      4.95570   2      6.66027
      2.00521     -4.50426     -4.25049   2      6.66331
      1.40105     -6.10116     -1.38732   2      6.75084
      1.40544      6.25218     -1.35669   2      6.75101
      1.07106      3.09820     -5.17368   1      6.75874
      0.10013     -1.53571      5.96414   2      6.75902
      8.28575     -4.46913      1.87504   2      6.76142
      0.10179      1.69631      5.96665   2      6.76500
      1.06772     -2.98354     -5.18841   1      6.78372
      8.28952      4.64976      1.89604   2      6.79562
      9.12404     -1.53735     -3.14015   2      6.80449
      9.12578      1.69459     -3.13528   2      6.80733
      5.47926     -6.08550      2.61669   2      6.84739
      5.48364      6.26783      2.64732   2      6.89614
      9.22413     -2.95223      2.81960   1      6.91752
      9.22747      3.12951      2.83433   1      6.94155
      0.00229      6.14886      0.01377   1      7.02679
     -0.00191     -6.00719     -0.01350   1      7.02949
      7.28878     -4.47804     -3.44926   3      7.03038
      7.29255      4.64085     -3.42827   3      7.03537
     -3.50987      0.07022     -0.35396   2      7.05664
      4.07629     -5.99153      3.99051   1      7.09140
      2.70673      0.05887     -6.71232   2      7.11230
      4.08050      6.16451      4.01778   1      7.13325
     -1.50368      1.57419     -4.59106   1      7.20185
     -2.23996     -1.52814      4.39539   2      7.20836
     -1.50551     -1.46226     -4.59393   1      7.21118
      2.57853      0.10481      7.51043   3      7.21669
     -2.23822      1.70380      4.40026   2      7.21751
     -1.07122      4.60951     -2.90790   3      7.22798
      7.38759      1.67145     -5.57289   2      7.26102
     -1.07499     -4.50938     -2.92890   3      7.26543
      7.38592     -1.56057     -5.57540   2      7.26883
     10.72480      0.07179     -0.67996   3      7.28744
     -1.07068     -2.95653      5.17395   1      7.30643
      7.72594      0.10696      6.33326   3      7.31529
     -1.06734      3.12521      5.18869   1      7.32566
      4.64655      0.10154      7.65406   2      7.38756
     10.86310      0.09018      1.29570   2      7.41202
      9.65562      0.08530      4.50123   3      7.41294
     -0.09983      1.67678     -5.96211   2      7.45098
