natx =      359
    x       y        z       iph  
      0.93963      4.62785      0.95187   0      0.00000
      1.07595      4.65221      2.93010   3      1.98307
      0.00186      3.11170      0.00750   1      2.01741
      0.00229      6.14886      0.01377   1      2.01795
      3.00699      4.62517      1.09611   3      2.07239
     -0.93609      4.63196     -0.93079   2      2.65758
      1.40482      3.01774     -1.36632   2      2.86057
      1.40544      6.25218     -1.35669   2      2.86092
     -1.40259      6.24089      1.38508   2      2.87673
     -1.40221      3.00845      1.38012   2      2.87925
      1.17309      7.56968      0.80396   2      2.95478
      1.17099      1.68281      0.78547   2      2.95880
      3.14212      4.64761      3.07322   2      3.05802
      3.74481      6.24304      0.20790   2      3.32135
      3.74520      3.01060      0.20294   2      3.32380
      0.33563      3.03124      3.81486   2      3.33327
     -2.14042      4.62302      2.27329   3      3.35155
      0.33624      6.26568      3.82449   2      3.36133
      2.14514      4.63870     -2.25109   3      3.42233
      2.57647      7.67229     -0.56892   1      3.77633
      2.57453      1.58985     -0.58705   1      3.77765
     -1.16902      1.69029     -0.78092   2      4.00977
     -1.16699      7.57725     -0.76480   2      4.01046
      2.90918      1.70595      3.22308   2      4.19226
      2.91122      7.59290      3.23921   2      4.23209
     -1.07122      4.60951     -2.90790   3      4.35220
     -2.00528      4.64546      4.25040   2      4.42189
     -3.00226      4.63655     -1.07391   3      4.43197
      4.21132      4.63410     -2.10796   2      4.47957
      4.08007      3.12736      4.01151   1      4.63414
      0.43001      0.06749      1.67440   3      4.64528
      0.43378      9.18638      1.69540   3      4.64639
      4.08050      6.16451      4.01778   1      4.65040
     -2.57094      7.67014      0.60825   1      4.65808
     -2.57288      1.58770      0.59012   1      4.65952
      1.50533      1.60336      4.59413   1      4.76798
      1.50727      7.68580      4.61226   1      4.80330
     -1.06734      3.12521      5.18869   1      4.92306
     -1.06691      6.16236      5.19495   1      4.93808
      5.14926      3.11385     -1.16968   1      4.95118
      5.14970      6.15101     -1.16341   1      4.95168
      2.67600      3.02410      5.38413   2      5.02314
      2.67562      6.25655      5.38908   2      5.03539
     -3.74258      3.01559     -0.18914   2      5.08177
     -3.74197      6.25003     -0.17951   2      5.08221
      5.48303      3.03339      2.63769   2      5.10164
      5.48364      6.26783      2.64732   2      5.11978
      3.97838      1.69244     -1.95810   2      5.13016
      3.98041      7.57940     -1.94197   2      5.13150
     -0.33339      6.22738     -3.79611   2      5.16937
     -0.33301      2.99494     -3.80106   2      5.18424
      1.64131      9.19127     -1.51013   2      5.23246
      1.63754      0.07237     -1.53113   2      5.23496
      3.51141      0.07011      0.35410   2      5.26729
     -1.63222      9.18685      1.55227   2      5.26872
     -1.63599      0.06796      1.53127   2      5.26898
      3.51518      9.18900      0.37510   2      5.26974
     -4.20762      4.62599      2.12887   2      5.28011
      6.08719      4.63029     -0.22549   2      5.28049
      2.00898      4.61463     -4.22949   2      5.29057
     -0.12941      4.64165      6.13287   2      5.29016
      0.56834      0.08588      3.65005   2      5.29599
      0.57211      9.20477      3.67105   2      5.33640
      6.22335      4.65436      1.75292   3      5.34416
      1.93779      4.63868      6.27730   3      5.41818
     -0.43048      0.07565     -1.67476   3      5.43129
     -0.42670      9.19454     -1.65376   3      5.43239
      3.64773      0.09130      2.32925   3      5.45997
      3.65150      9.21020      2.35025   3      5.50524
     -2.23822      1.70380      4.40026   2      5.52632
     -2.23619      7.59076      4.41639   2      5.55586
     -3.13842      4.61248     -3.05232   2      5.71527
      5.01799      4.64380      4.95570   2      5.71524
     -1.49967      0.08915      3.50643   3      5.75115
     -1.49590      9.20805      3.52743   3      5.79168
     -3.97431      7.56753      1.98114   2      5.81790
     -3.97642      1.68066      1.96265   2      5.82024
      0.10179      1.69631      5.96665   2      5.86889
      0.10390      7.58318      5.98514   2      5.89629
     -4.07146      4.65006      4.10727   3      5.92183
      4.07618      4.61166     -4.08507   3      5.93371
      1.17476     10.80170      0.80647   2      6.18004
      1.16932     -1.54922      0.78296   2      6.18365
      2.24229      7.55617     -4.37722   2      6.21862
      2.24019      1.66930     -4.39571   2      6.24829
      6.32050      7.57183     -0.37322   2      6.27508
     -5.14511      6.14671      1.19094   1      6.27600
     -5.14555      3.10955      1.18468   1      6.27605
      6.31839      1.68496     -0.39171   2      6.27669
      1.07149      6.13535     -5.16742   1      6.30362
      1.07106      3.09820     -5.17368   1      6.31502
     -2.90511      7.55402     -3.20005   2      6.37047
      1.50298      9.17288     -3.48579   3      6.37711
     -2.90722      1.66715     -3.21854   2      6.39971
      1.49920      0.05398     -3.50679   3      6.41195
      5.24920      1.69846      4.78948   2      6.47155
      2.57269     -1.44660     -0.58992   1      6.47634
      2.57830     10.70870     -0.56605   1      6.47812
      5.25130      7.58533      4.80797   2      6.49667
     -3.50610      9.18912     -0.33296   2      6.49773
     -3.50987      0.07022     -0.35396   2      6.50194
      5.57741      0.06964      0.49722   3      6.51866
      5.58118      9.18853      0.51822   3      6.52164
     -0.56303      9.17334     -3.62891   2      6.62593
      2.44221      0.08361      5.53528   2      6.62688
     -0.56680      0.05445     -3.64991   2      6.66046
      2.44599      9.20251      5.55628   2      6.66312
     -1.17076     -1.54164     -0.78579   2      6.74802
     -1.16525     10.80920     -0.75992   2      6.75054
     -1.50174      7.65663     -4.57293   1      6.75701
     -2.47140      3.02196      6.56130   2      6.75868
      5.71574      0.08803      2.47288   2      6.76274
     -2.47179      6.25440      6.56626   2      6.76793
     -1.50368      1.57419     -4.59106   1      6.78371
      5.71952      9.20692      2.49388   2      6.79655
      6.55284      6.25433     -2.53387   2      6.80470
      6.55223      3.01989     -2.54350   2      6.80474
      2.90744     -1.52599      3.21821   2      6.84677
      2.91296     10.82480      3.24408   2      6.89568
      6.65274      1.60551      3.41695   1      6.91743
      6.65468      7.68795      3.43508   1      6.94207
     -2.56910     10.70660      0.61112   1      7.02698
     -2.57471     -1.44875      0.58725   1      7.02913
      4.71693      0.07780     -2.85193   3      7.03135
      4.72070      9.19669     -2.83093   3      7.03423
     -6.08349      4.62981      0.24639   2      7.05846
      1.50350     -1.43310      4.59126   1      7.09212
      0.13311      4.61845     -6.11197   2      7.10974
      1.50910     10.72230      4.61513   1      7.13345
     -4.07592      6.13320     -3.99024   1      7.20044
     -4.81178      3.02909      4.99204   2      7.20817
     -4.07635      3.09605     -3.99651   1      7.21061
      0.00675      4.66572      8.11128   3      7.22003
     -4.81116      6.26353      5.00167   2      7.22135
     -3.64443      9.17073     -2.30861   3      7.23064
      4.81401      6.22953     -4.97329   2      7.25836
     -3.64820      0.05183     -2.32961   3      7.26335
      4.81439      2.99709     -4.97824   2      7.26907
      8.15439      4.62732     -0.08106   3      7.28833
     -3.64207      1.60121      5.77131   1      7.30613
      5.15415      4.66787      6.93410   3      7.31785
     -3.64013      7.68365      5.78944   1      7.32900
      2.07292      4.66112      8.25440   2      7.39002
      8.28952      4.64976      1.89604   2      7.41032
      7.08519      4.64083      5.10012   3      7.41458
     -2.67277      6.23652     -5.36070   2      7.44888
     -2.67338      3.00208     -5.37033   2      7.46104
      4.50821      0.08315      5.67840   3      7.46520
      3.97664     -1.53950     -1.96297   2      7.46699
      3.98215     10.81130     -1.93710   2      7.47249
      4.51199      9.20204      5.69940   3      7.49827
     -4.71363      9.18423      2.87257   3      7.51059
     -4.71740      0.06534      2.85157   3      7.51181
     -5.48080      6.22523     -2.61893   2      7.51825
     -5.48041      2.99279     -2.62389   2      7.52837
     -0.09780      7.56374     -5.94598   2      7.56809
     -0.09983      1.67678     -5.96211   2      7.58897
     -0.63919      0.08100      6.85558   3      7.61711
     -6.21863      4.60736     -1.73072   3      7.64444
     -0.63542      9.19989      6.87658   3      7.64765
     -3.20962      4.63653      7.45447   3      7.71363
      0.00563     12.23060      0.02850   1      7.71536
     -0.00148     -2.97004     -0.00723   1      7.71580
      7.29255      4.64085     -3.42827   3      7.71657
     -2.23996     -1.52814      4.39539   2      7.73717
     -1.93306      4.62305     -6.25510   3      7.75840
      8.05659      1.70810      2.04591   2      7.77001
