natx =      362
    x       y        z       iph  
      0.33567      3.03130      3.81464   0      0.00000
     -1.06734      3.12521      5.18869   1      1.96603
      1.07595      4.65221      2.93010   3      1.98942
      1.50533      1.60336      4.59413   1      2.00368
      0.10179      1.69631      5.96665   2      2.54324
      2.67600      3.02410      5.38413   2      2.81789
     -0.12941      4.64165      6.13287   2      2.86072
     -2.00528      4.64546      4.25040   2      2.87671
     -2.23822      1.70380      4.40026   2      2.95468
      2.90918      1.70595      3.22308   2      2.95456
      0.56834      0.08588      3.65005   2      2.95918
     -1.40221      3.00845      1.38012   2      2.99126
      0.33624      6.26568      3.82449   2      3.23440
      3.14212      4.64761      3.07322   2      3.32240
     -2.14042      4.62302      2.27329   3      3.32270
      0.93979      4.62814      0.95169   2      3.33337
      1.93779      4.63868      6.27730   3      3.34890
      1.17099      1.68281      0.78547   2      3.41936
     -1.49967      0.08915      3.50643   3      3.48134
      0.43001      0.06749      1.67440   3      3.65701
     -1.06691      6.16236      5.19495   1      3.69811
      4.08007      3.12736      4.01151   1      3.75080
      0.00186      3.11170      0.00750   1      3.82259
     -2.47140      3.02196      6.56130   2      3.92732
      2.44221      0.08361      5.53528   2      4.01086
      3.00699      4.62517      1.09611   3      4.13120
     -1.63599      0.06796      1.53127   2      4.22878
      2.67562      6.25655      5.38908   2      4.28444
     -0.63919      0.08100      6.85558   3      4.34764
     -1.40259      6.24089      1.38508   2      4.38472
     -2.57288      1.58770      0.59012   1      4.57615
      0.00675      4.66572      8.11128   3      4.60876
     -3.64207      1.60121      5.77131   1      4.65791
      3.64773      0.09130      2.32925   3      4.67116
      1.50350     -1.43310      4.59126   1      4.67951
     -4.07146      4.65006      4.10727   3      4.70413
      1.50727      7.68580      4.61226   1      4.86551
     -3.97642      1.68066      1.96265   2      4.88346
      4.08050      6.16451      4.01778   1      4.88692
      0.00229      6.14886      0.01377   1      4.92716
      3.74520      3.01060      0.20294   2      4.96686
      1.83999      1.71945      8.40427   2      5.00486
     -1.16902      1.69029     -0.78092   2      5.01812
      2.07292      4.66112      8.25440   2      5.03843
      0.10390      7.58318      5.98514   2      5.04821
      0.10013     -1.53571      5.96414   2      5.05306
      5.01799      4.64380      4.95570   2      5.08196
     -2.47179      6.25440      6.56626   2      5.08347
     -4.20762      4.62599      2.12887   2      5.10160
     -2.70519      0.08146      6.71246   2      5.13281
      2.57453      1.58985     -0.58705   1      5.14443
     -0.93609      4.63196     -0.93079   2      5.16707
      5.24920      1.69846      4.78948   2      5.18358
      2.57853      0.10481      7.51043   3      5.22050
      2.90744     -1.52599      3.21821   2      5.26675
     -2.23996     -1.52814      4.39539   2      5.26874
     -2.23619      7.59076      4.41639   2      5.26927
      2.91122      7.59290      3.23921   2      5.26999
     -4.81178      3.02909      4.99204   2      5.28039
      5.48303      3.03339      2.63769   2      5.28020
      1.40482      3.01774     -1.36632   2      5.29014
     -0.73357      3.04475      8.99605   2      5.29060
     -3.20962      4.63653      7.45447   3      5.32862
      4.50821      0.08315      5.67840   3      5.43832
      1.17309      7.56968      0.80396   2      5.51021
      3.51141      0.07011      0.35410   2      5.55241
      1.16932     -1.54922      0.78296   2      5.55583
     -3.74258      3.01559     -0.18914   2      5.71512
      4.41384      3.04690      7.81887   2      5.71538
     -4.57907      0.08373      4.82723   2      5.81964
     -0.50086      0.09939      8.83124   2      5.87045
      0.33247     -2.85321      3.80349   2      5.88452
      3.74481      6.24304      0.20790   2      5.91152
     -4.71740      0.06534      2.85157   3      5.93784
      5.15415      4.66787      6.93410   3      5.96885
      3.01087      3.14087      9.19269   1      6.00767
     -5.14555      3.10955      1.18468   1      6.08002
      0.43613      1.61686      9.77531   1      6.12702
     -3.00226      4.63655     -1.07391   3      6.13323
      0.57211      9.20477      3.67105   2      6.17966
      1.40544      6.25218     -1.35669   2      6.18556
      5.48364      6.26783      2.64732   2      6.19188
     -4.81116      6.26353      5.00167   2      6.19243
     -0.73296      6.27919      9.00568   2      6.21592
     -2.57471     -1.44875      0.58725   1      6.24157
      1.63754      0.07237     -1.53113   2      6.24719
      5.71574      0.08803      2.47288   2      6.27760
     -0.43048      0.07565     -1.67476   3      6.28143
     -3.64391     -1.43525      5.76844   1      6.29321
     -1.07068     -2.95653      5.17395   1      6.29918
     -2.57094      7.67014      0.60825   1      6.34414
