natx =      359
    x       y        z       iph  
      3.14200      4.64804      3.07306   0      0.00000
      3.00699      4.62517      1.09611   3      1.98169
      4.08007      3.12736      4.01151   1      2.01820
      4.08050      6.16451      4.01778   1      2.01816
      1.07595      4.65221      2.93010   3      2.07099
      5.01799      4.64380      4.95570   2      2.65776
      2.67562      6.25655      5.38908   2      2.85810
      2.67600      3.02410      5.38413   2      2.86276
      5.48303      3.03339      2.63769   2      2.87699
      5.48364      6.26783      2.64732   2      2.87893
      2.90918      1.70595      3.22308   2      2.95510
      2.91122      7.59290      3.23921   2      2.95856
      0.93979      4.62814      0.95169   2      3.05783
      0.33563      3.03124      3.81486   2      3.32265
      0.33624      6.26568      3.82449   2      3.32471
      3.74481      6.24304      0.20790   2      3.33415
      6.22335      4.65436      1.75292   3      3.35224
      3.74520      3.01060      0.20294   2      3.35897
      1.93779      4.63868      6.27730   3      3.42306
      1.50533      1.60336      4.59413   1      3.77656
      1.50727      7.68580      4.61226   1      3.77749
      5.24920      1.69846      4.78948   2      4.01079
      5.25130      7.58533      4.80797   2      4.01083
      1.17309      7.56968      0.80396   2      4.19063
      1.17099      1.68281      0.78547   2      4.23208
      5.15415      4.66787      6.93410   3      4.35394
      6.08719      4.63029     -0.22549   2      4.42209
      7.08519      4.64083      5.10012   3      4.43371
     -0.12941      4.64165      6.13287   2      4.47935
      0.00229      6.14886      0.01377   1      4.63352
      3.64773      0.09130      2.32925   3      4.64466
      3.65150      9.21020      2.35025   3      4.64708
      0.00186      3.11170      0.00750   1      4.64957
      6.65274      1.60551      3.41695   1      4.65838
      6.65468      7.68795      3.43508   1      4.65951
      2.57647      7.67229     -0.56892   1      4.76759
      2.57453      1.58985     -0.58705   1      4.80322
      5.14970      6.15101     -1.16341   1      4.92316
      5.14926      3.11385     -1.16968   1      4.93798
     -1.06691      6.16236      5.19495   1      4.95081
     -1.06734      3.12521      5.18869   1      4.95111
      1.40544      6.25218     -1.35669   2      5.02111
      1.40482      3.01774     -1.36632   2      5.03823
      7.82302      6.25870      4.21191   2      5.07968
      7.82341      3.02625      4.20695   2      5.08247
     -1.40259      6.24089      1.38508   2      5.10292
     -1.40221      3.00845      1.38012   2      5.11900
      0.10179      1.69631      5.96665   2      5.13113
      0.10390      7.58318      5.98514   2      5.13082
      4.41384      3.04690      7.81887   2      5.16759
      4.41445      6.28134      7.82850   2      5.18662
      2.44221      0.08361      5.53528   2      5.23319
      2.44599      9.20251      5.55628   2      5.23393
      0.57211      9.20477      3.67105   2      5.26552
      5.71952      9.20692      2.49388   2      5.26901
      0.56834      0.08588      3.65005   2      5.26972
      5.71574      0.08803      2.47288   2      5.27049
     -2.00528      4.64546      4.25040   2      5.28021
      8.28952      4.64976      1.89604   2      5.28037
      4.21132      4.63410     -2.10796   2      5.29024
      2.07292      4.66112      8.25440   2      5.29050
      3.51518      9.18900      0.37510   2      5.29515
      3.51141      0.07011      0.35410   2      5.33729
     -2.14042      4.62302      2.27329   3      5.34268
      2.14514      4.63870     -2.25109   3      5.41668
      4.50821      0.08315      5.67840   3      5.43070
      4.51199      9.20204      5.69940   3      5.43263
      0.43378      9.18638      1.69540   3      5.46159
      0.43001      0.06749      1.67440   3      5.50387
      6.32050      7.57183     -0.37322   2      5.52524
      6.31839      1.68496     -0.39171   2      5.55643
     -0.93609      4.63196     -0.93079   2      5.71506
      7.22033      4.66327      7.07723   2      5.71545
      5.58118      9.18853      0.51822   3      5.75264
      5.57741      0.06964      0.49722   3      5.79033
      8.05659      1.70810      2.04591   2      5.81820
      8.05862      7.59505      2.06204   2      5.82067
      3.98041      7.57940     -1.94197   2      5.86910
      3.97838      1.69244     -1.95810   2      5.89472
      8.15439      4.62732     -0.08106   3      5.92224
      0.00675      4.66572      8.11128   3      5.93412
      2.90744     -1.52599      3.21821   2      6.18019
      2.91296     10.82480      3.24408   2      6.18337
      1.83999      1.71945      8.40427   2      6.22042
      1.84202      7.60641      8.42040   2      6.24788
     -2.23822      1.70380      4.40026   2      6.27509
     -2.23619      7.59076      4.41639   2      6.27607
      9.22747      3.12951      2.83433   1      6.27661
      9.22790      6.16666      2.84060   1      6.27682
      3.01087      3.14087      9.19269   1      6.30386
      3.01130      6.17802      9.19896   1      6.31542
      6.98739      1.72160      7.22709   2      6.37237
      2.57853      0.10481      7.51043   3      6.37563
      6.98942      7.60856      7.24322   2      6.39981
      2.58231      9.22370      7.53143   3      6.41303
     -1.16699      7.57725     -0.76480   2      6.47123
      1.50910     10.72230      4.61513   1      6.47619
      1.50350     -1.43310      4.59126   1      6.47842
     -1.16902      1.69029     -0.78092   2      6.49510
      7.58962      0.08576      4.35811   2      6.49978
      7.59339      9.20465      4.37911   2      6.50256
     -1.49967      0.08915      3.50643   3      6.52046
     -1.49590      9.20805      3.52743   3      6.51999
      1.64131      9.19127     -1.51013   2      6.62560
      4.64655      0.10154      7.65406   2      6.62721
      4.65032      9.22043      7.67506   2      6.66034
      1.63754      0.07237     -1.53113   2      6.66324
      5.25297     10.81740      4.81048   2      6.74802
      5.24753     -1.53356      4.78697   2      6.75151
      6.55284      6.25433     -2.53387   2      6.75660
      5.58354      1.61901      8.59814   1      6.75741
     -1.63222      9.18685      1.55227   2      6.76068
      6.55223      3.01989     -2.54350   2      6.76951
      5.58548      7.70145      8.61627   1      6.78388
     -1.63599      0.06796      1.53127   2      6.79584
     -2.47179      6.25440      6.56626   2      6.80422
     -2.47140      3.02196      6.56130   2      6.80604
      1.17476     10.80170      0.80647   2      6.84653
      1.16932     -1.54922      0.78296   2      6.89507
     -2.57094      7.67014      0.60825   1      6.91708
     -2.57288      1.58770      0.59012   1      6.94194
      6.65090     -1.43095      3.41408   1      7.02729
      6.65651     10.72440      3.43795   1      7.02902
     -0.63919      0.08100      6.85558   3      7.03297
     -0.63542      9.19989      6.87658   3      7.03243
     10.16540      4.64595      3.77852   2      7.05874
      2.57830     10.70870     -0.56605   1      7.09172
      3.94880      4.65731     10.13690   2      7.10977
      2.57269     -1.44660     -0.58992   1      7.13345
      8.15828      3.14302      8.01552   1      7.20112
      8.89222      6.24519     -0.96928   2      7.20808
      8.15871      6.18017      8.02178   1      7.21142
      4.07618      4.61166     -4.08507   3      7.21892
      8.89260      3.01275     -0.97423   2      7.21970
      7.72594      0.10696      6.33326   3      7.22930
     -0.73357      3.04475      8.99605   2      7.25757
      7.72971      9.22585      6.35426   3      7.26428
     -0.73296      6.27919      9.00568   2      7.27131
     -4.07146      4.65006      4.10727   3      7.28722
      7.72387      7.67444     -1.74610   1      7.30595
     -1.07122      4.60951     -2.90790   3      7.31605
      7.72193      1.59200     -1.76423   1      7.32902
      2.00898      4.61463     -4.22949   2      7.39000
     -4.20762      4.62599      2.12887   2      7.41005
     -3.00226      4.63655     -1.07391   3      7.41279
      6.75421      3.03976      9.38814   2      7.45083
      6.75382      6.27220      9.39309   2      7.45828
      0.10557     10.81520      5.98765   2      7.46650
     -0.42670      9.19454     -1.65376   3      7.46653
      0.10013     -1.53571      5.96414   2      7.47329
     -0.43048      0.07565     -1.67476   3      7.49741
      8.79514      0.09345      1.15207   3      7.50949
      8.79891      9.21234      1.17307   3      7.51288
      9.56124      3.04905      6.64170   2      7.51656
      9.56185      6.28349      6.65133   2      7.52949
      4.18000      1.71197      9.97066   2      7.56801
      4.18211      7.59884      9.98915   2      7.59087
      4.72070      9.19669     -2.83093   3      7.61837
     10.30160      4.67002      5.75693   3      7.64614
      4.71693      0.07780     -2.85193   3      7.64676
      7.29255      4.64085     -3.42827   3      7.71326
      4.07673     -2.95438      3.99678   1      7.71516
     -3.20962      4.63653      7.45447   3      7.71621
      4.08384     12.24630      4.03251   1      7.71629
      6.32217     10.80380     -0.37071   2      7.73734
      6.01600      4.65433     10.28130   3      7.76007
     -3.97431      7.56753      1.98114   2      7.76901
      6.31673     -1.54707     -0.39422   2      7.77691
     -3.74197      6.25003     -0.17951   2      7.78040
     -3.74258      3.01559     -0.18914   2      7.79130
     -3.97642      1.68066      1.96265   2      7.79168
      1.60681      3.03761     10.56530   2      7.81562
      1.60642      6.27005     10.57030   2      7.82289
     10.63040      3.03554      1.46051   2      7.82794
     10.63100      6.26998      1.47014   2      7.82848
      0.43613      1.61686      9.77531   1      7.83773
     10.39660      1.70061      3.61230   2      7.84903
     10.39870      7.58748      3.63079   2      7.84927
     -0.33339      6.22738     -3.79611   2      7.85864
      0.43807      7.69930      9.79344   1      7.86034
      2.67977     12.14300      5.40513   2      7.86299
      2.67184     -2.86235      5.36808   2      7.86728
      5.47987     -2.85106      2.62632   2      7.86776
      5.48680     12.15230      2.65869   2      7.87297
     -0.33301      2.99494     -3.80106   2      7.87794
     -3.64207      1.60121      5.77131   1      7.91122
     -3.64013      7.68365      5.78944   1      7.91144
      8.05485     -1.52384      2.04104   2      7.95571
      8.06036     10.82700      2.06691   2      7.96129
      3.98215     10.81130     -1.93710   2      7.98707
      3.97664     -1.53950     -1.96297   2      8.02146
      3.74897     12.12950      0.22394   2      8.02858
      0.33247     -2.85321      3.80349   2      8.04337
      0.33940     12.15010      3.83586   2      8.04471
      2.24229      7.55617     -4.37722   2      8.04819
      9.65562      0.08530      4.50123   3      8.07995
      3.74104     -2.87585      0.18690   2      8.08070
      9.65939      9.20419      4.52223   3      8.08300
      2.24019      1.66930     -4.39571   2      8.09127
      8.66259      9.19115     -0.80208   2      8.13225
      1.50298      9.17288     -3.48579   3      8.13505
      8.65881      0.07225     -0.82308   2      8.15800
      1.49920      0.05398     -3.50679   3      8.19137
     -0.50086      0.09939      8.83124   2      8.19251
      6.78871      9.19342     -2.68731   2      8.19395
     -0.49708      9.21828      8.85224   2      8.21760
      6.78494      0.07452     -2.70831   2      8.22267
      1.83825     -1.51248      8.39940   2      8.24752
     -2.70142      9.20036      6.73346   2      8.26243
     -2.70519      0.08146      6.71246   2      8.26369
      1.84376     10.83830      8.42527   2      8.28558
     -2.23996     -1.52814      4.39539   2      8.29815
     -2.23445     10.82270      4.42126   2      8.29761
     -4.81178      3.02909      4.99204   2      8.34063
     -4.81116      6.26353      5.00167   2      8.34159
      6.98565     -1.51033      7.22222   2      8.36150
      4.81401      6.22953     -4.97329   2      8.36902
      9.09620      4.65946      8.95971   2      8.37289
      4.81439      2.99709     -4.97824   2      8.38725
      6.99116     10.84050      7.24809   2      8.40199
     -1.16525     10.80920     -0.75992   2      8.43825
     -1.17076     -1.54164     -0.78579   2      8.47365
      5.58171     -1.41744      8.59527   1      8.55786
      5.58731     10.73790      8.61914   1      8.59214
      6.52042      0.09927      9.53929   2      8.59751
     11.37080      4.65651      0.57574   3      8.59941
      1.07149      6.13535     -5.16742   1      8.62581
      6.52419      9.21816      9.56029   2      8.62609
     -5.14511      6.14671      1.19094   1      8.62929
     -5.14555      3.10955      1.18468   1      8.63808
      1.07106      3.09820     -5.17368   1      8.64289
     -2.56910     10.70660      0.61112   1      8.68239
      0.86859      4.65218     11.45850   3      8.68815
     -2.57471     -1.44875      0.58725   1      8.71957
     -3.50610      9.18912     -0.33296   2      8.74183
      9.79395      0.10369      6.47688   2      8.74560
      0.00563     12.23060      0.02850   1      8.75222
     -3.50987      0.07022     -0.35396   2      8.77202
      9.79772      9.22258      6.49788   2      8.77237
     -3.13842      4.61248     -3.05232   2      8.77298
     -0.00148     -2.97004     -0.00723   1      8.79800
      1.40860     12.13660     -1.34532   2      8.86596
     -3.07448      4.65897      9.43158   2      8.89244
      9.35872      4.63625     -3.28514   2      8.89238
     -0.56303      9.17334     -3.62891   2      8.89505
      1.40166     -2.86672     -1.37769   2      8.90559
     -1.39843     12.12730      1.40112   2      8.90787
      5.15304     12.23270     -1.14868   1      8.91036
      7.81925     -2.86020      4.19091   2      8.91627
      7.82718     12.14510      4.22795   2      8.91575
      9.32740      1.71412      8.79349   2      8.92134
      9.32951      7.60099      8.81198   2      8.94094
     -1.06356     12.24410      5.20968   1      8.94159
     -1.07068     -2.95653      5.17395   1      8.94371
      4.41068     -2.83755      7.80750   2      8.94754
     -0.56680      0.05445     -3.64991   2      8.94732
      5.14592     -2.96789     -1.18441   1      8.95233
     -1.40636     -2.87800      1.36408   2      8.95821
      4.41761     12.16580      7.83987   2      8.99257
      7.72570     10.71090     -1.74323   1      8.99807
      3.43902      0.09665     10.85960   3      9.02406
      7.72010     -1.44445     -1.76710   1      9.02799
      3.44279      9.21555     10.88060   3      9.05043
      1.37302      0.09712     10.71650   2      9.06986
     -4.71363      9.18423      2.87257   3      9.07349
      4.08496      4.68138     12.11530   3      9.09134
      1.37679      9.21601     10.73750   2      9.09538
     10.29710      6.15316     -2.34058   1      9.09771
      9.12782      7.58155     -3.11915   2      9.09830
     -4.71740      0.06534      2.85157   3      9.10057
     10.29670      3.11600     -2.34685   1      9.10562
      9.12578      1.69459     -3.13528   2      9.11438
      3.14589     13.76650      3.09422   2      9.11849
