natx =      362
    x       y        z       iph  
      1.17101      1.68315      0.78527   0      0.00000
      2.57453      1.58985     -0.58705   1      1.96516
      0.43001      0.06749      1.67440   3      1.98746
      0.00186      3.11170      0.00750   1      2.00315
      1.40482      3.01774     -1.36632   2      2.54266
     -1.16902      1.69029     -0.78092   2      2.81580
      1.63754      0.07237     -1.53113   2      2.85972
      3.51141      0.07011      0.35410   2      2.87494
      3.74520      3.01060      0.20294   2      2.95427
     -1.40221      3.00845      1.38012   2      2.95495
      0.93979      4.62814      0.95169   2      2.95874
      2.90918      1.70595      3.22308   2      2.99411
      1.16932     -1.54922      0.78296   2      3.23237
     -1.63599      0.06796      1.53127   2      3.32334
      3.64773      0.09130      2.32925   3      3.32446
      0.56834      0.08588      3.65005   2      3.33488
     -0.43048      0.07565     -1.67476   3      3.34673
      0.33563      3.03124      3.81486   2      3.41959
      3.00699      4.62517      1.09611   3      3.48180
      1.07595      4.65221      2.93010   3      3.66397
      2.57269     -1.44660     -0.58992   1      3.69475
     -2.57288      1.58770      0.59012   1      3.75019
      1.50533      1.60336      4.59413   1      3.82434
      3.97838      1.69244     -1.95810   2      3.92524
     -0.93609      4.63196     -0.93079   2      4.01001
     -1.49967      0.08915      3.50643   3      4.13256
      3.14212      4.64761      3.07322   2      4.23179
     -1.17076     -1.54164     -0.78579   2      4.28385
      2.14514      4.63870     -2.25109   3      4.34784
      2.90744     -1.52599      3.21821   2      4.38554
      4.08007      3.12736      4.01151   1      4.57788
      1.49920      0.05398     -3.50679   3      4.60257
      5.14926      3.11385     -1.16968   1      4.65781
     -2.14042      4.62302      2.27329   3      4.67147
      0.00229      6.14886      0.01377   1      4.68014
      5.57741      0.06964      0.49722   3      4.70136
     -0.00148     -2.97004     -0.00723   1      4.86364
      5.48303      3.03339      2.63769   2      4.88345
     -2.57471     -1.44875      0.58725   1      4.88656
      1.50350     -1.43310      4.59126   1      4.93023
     -2.23822      1.70380      4.40026   2      4.96905
     -0.33301      2.99494     -3.80106   2      5.00173
      2.67600      3.02410      5.38413   2      5.02122
     -0.56680      0.05445     -3.64991   2      5.03423
      1.40166     -2.86672     -1.37769   2      5.04311
      1.40544      6.25218     -1.35669   2      5.05163
      3.97664     -1.53950     -1.96297   2      5.08034
     -3.50987      0.07022     -0.35396   2      5.08036
      5.71574      0.08803      2.47288   2      5.10363
      4.21132      4.63410     -2.10796   2      5.13053
     -1.06734      3.12521      5.18869   1      5.14586
      2.44221      0.08361      5.53528   2      5.17079
     -3.74258      3.01559     -0.18914   2      5.18346
     -1.07122      4.60951     -2.90790   3      5.21830
      3.74104     -2.87585      0.18690   2      5.26760
      3.74481      6.24304      0.20790   2      5.26786
     -1.40259      6.24089      1.38508   2      5.26841
     -1.40636     -2.87800      1.36408   2      5.27086
     -3.97642      1.68066      1.96265   2      5.28037
      6.31839      1.68496     -0.39171   2      5.28023
      2.24019      1.66930     -4.39571   2      5.29017
      0.10179      1.69631      5.96665   2      5.29057
      4.71693      0.07780     -2.85193   3      5.32728
     -3.00226      4.63655     -1.07391   3      5.44016
      0.33247     -2.85321      3.80349   2      5.51284
     -2.00528      4.64546      4.25040   2      5.55619
      0.33624      6.26568      3.82449   2      5.56177
     -2.90722      1.66715     -3.21854   2      5.71513
      5.24920      1.69846      4.78948   2      5.71538
      6.08719      4.63029     -0.22549   2      5.82032
      2.00898      4.61463     -4.22949   2      5.86887
      1.17309      7.56968      0.80396   2      5.88656
     -2.23996     -1.52814      4.39539   2      5.91439
      6.22335      4.65436      1.75292   3      5.94059
     -3.64820      0.05183     -2.32961   3      5.96561
     -1.50368      1.57419     -4.59106   1      6.00589
      6.65274      1.60551      3.41695   1      6.08121
      1.07106      3.09820     -5.17368   1      6.12547
      4.50821      0.08315      5.67840   3      6.13511
      0.93602     -4.49075      0.93069   2      6.18008
      6.31673     -1.54707     -0.39422   2      6.18902
      0.10013     -1.53571      5.96414   2      6.19100
     -3.97808     -1.55137      1.96014   2      6.19319
      2.23852     -1.56272     -4.39822   2      6.20837
      4.08050      6.16451      4.01778   1      6.24475
     -0.12941      4.64165      6.13287   2      6.24825
     -4.20762      4.62599      2.12887   2      6.27656
      1.93779      4.63868      6.27730   3      6.28375
      5.14970      6.15101     -1.16341   1      6.29199
      2.57647      7.67229     -0.56892   1      6.29912
      4.07673     -2.95438      3.99678   1      6.34537
      4.07618      4.61166     -4.08507   3      6.38251
      5.01799      4.64380      4.95570   2      6.39978
      5.14592     -2.96789     -1.18441   1      6.42742
     -4.71740      0.06534      2.85157   3      6.44673
      3.00321     -4.49372      1.07511   3      6.44939
      6.55223      3.01989     -2.54350   2      6.46723
     -3.13842      4.61248     -3.05232   2      6.47142
     -5.14555      3.10955      1.18468   1      6.48792
      1.07217     -4.46668      2.90910   3      6.50698
      5.47987     -2.85106      2.62632   2      6.52034
     -1.16699      7.57725     -0.76480   2      6.52759
     -0.63919      0.08100      6.85558   3      6.53394
      5.24753     -1.53356      4.78697   2      6.55582
      5.48364      6.26783      2.64732   2      6.56394
     -2.90889     -1.56487     -3.22105   2      6.57616
     -0.33339      6.22738     -3.79611   2      6.62588
      2.67184     -2.86235      5.36808   2      6.62693
      2.91122      7.59290      3.23921   2      6.63139
